power_level,total_time
100,27.533897598584492
110,23.618477900822953
120,20.858999411265057
130,18.547166731622482
140,16.8587359852261
150,15.65226145585378
160,14.77152551545037
170,14.389471703105503
180,14.207614541053772
190,14.080188870429993
200,13.996444715393913
210,13.918626162740917
220,13.903724935319689
230,13.817768573760986
240,13.775942020946081
250,13.758791433440317
260,13.746575474739073
270,13.749184105131361
280,13.74544240368737
290,13.664010882377625
300,13.690003196398417
310,13.690661735004849
320,13.897534939977858
