power.draw [W]
76.81 W
74.34 W
79.35 W
79.43 W
79.27 W
79.11 W
79.18 W
79.39 W
79.23 W
79.23 W
79.01 W
78.82 W
79.50 W
79.53 W
78.98 W
79.40 W
79.28 W
79.04 W
79.06 W
79.02 W
79.14 W
79.03 W
78.93 W
78.56 W
79.27 W
79.57 W
79.35 W
79.21 W
79.41 W
79.06 W
79.35 W
78.76 W
78.93 W
78.84 W
79.03 W
78.47 W
79.53 W
79.34 W
79.17 W
78.78 W
78.88 W
79.53 W
79.12 W
79.11 W
79.22 W
79.07 W
79.56 W
77.06 W
70.90 W
75.78 W
