power.draw [W]
25.69 W
25.67 W
25.65 W
25.49 W
25.54 W
25.49 W
25.47 W
25.44 W
25.50 W
25.53 W
25.50 W
25.48 W
25.47 W
25.42 W
25.41 W
25.50 W
25.44 W
25.47 W
25.41 W
25.39 W
