PVWatts Hourly PV Performance Data,,,,,,,,,,,
Requested Location,turin,,,,,,,,,,
Location,"TORINO-CASELLE, ITALY",,,,,,,,,,
Latitude (DD),45.18,,,,,,,,,,
Longitude (DD),7.65,,,,,,,,,,
Elevation (m),282,,,,,,,,,,
DC System Size (kW),14.2,,,,,,,,,,
Module Type,Standard,,,,,,,,,,
Array Type,2-Axis Tracking,,,,,,,,,,
Array Tilt (deg),0,,,,,,,,,,
Array Azimuth (deg),180,,,,,,,,,,
System Losses (%),14.08,,,,,,,,,,
DC to AC Size Ratio,1.2,,,,,,,,,,
Inverter Efficiency (%),96,,,,,,,,,,
Ground Coverage Ratio,NA,,,,,,,,,,
Albedo,From weather file,,,,,,,,,,
Bifacial,No (0),,,,,,,,,,
Monthly Irradiance Loss (%),,,,,,,,,,,
1,3,15,151,28,7.6,3,0.2,213.151,11.942,2721.906,2569.175
1,3,16,40,9,6,3,0.2,69.231,7.396,832.887,747.092
1,3,17,0,0,3.7,0,0.2,0,3.7,0,0
1,3,18,0,0,0.8,0,0.2,0,0.8,0,0
1,3,19,0,0,-0.6,0,0.2,0,-0.6,0,0
1,3,20,0,0,-1.5,0,0.2,0,-1.5,0,0
1,3,21,0,0,-2,0,0.2,0,-2,0,0
1,3,22,0,0,-2.2,0,0.2,0,-2.2,0,0
1,3,23,0,0,-2.1,0,0.2,0,-2.1,0,0
1,4,0,0,0,-1.6,0,0.2,0,-1.6,0,0
1,4,1,0,0,-2.1,0,0.2,0,-2.1,0,0
1,4,2,0,0,-2.9,0,0.2,0,-2.9,0,0
1,4,3,0,0,-4,0,0.2,0,-4,0,0
1,4,4,0,0,-4.5,0,0.2,0,-4.5,0,0
1,4,5,0,0,-4.8,0,0.2,0,-4.8,0,0
1,4,6,0,0,-5,0,0.2,0,-5,0,0
1,4,7,0,0,-4.3,0,0.2,0,-4.3,0,0
1,4,8,33,7,-3.1,0,0.2,0,-3.1,0,0
1,4,9,150,29,-1.4,0,0.2,240.538,8.347,2956.34,2795.302
1,4,10,269,46,0.6,0,0.2,369.076,15.774,4703.997,4481.033
1,4,11,358,57,3,3,0.2,485.212,12.891,6296.695,6017.296
1,4,12,393,61,5.8,6,0.2,523.03,12.882,6783.326,6486.683
1,4,13,366,57,6.6,6,0.2,488.616,13.216,6324.099,6043.728
1,4,14,282,47,6.6,6,0.2,389.584,11.876,5056.459,4821.006
1,4,15,165,31,5.8,6,0.2,233.037,8.955,3017.189,2853.995
1,4,16,44,10,4.2,6,0.2,75.943,5.218,926.551,837.437
1,4,17,0,0,1.8,3,0.2,0,0,0,0
1,4,18,0,0,-1.4,0,0.2,0,-1.4,0,0
1,4,19,0,0,-2.6,0,0.2,0,-2.6,0,0
1,4,20,0,0,-3.3,0,0.2,0,-3.3,0,0
1,4,21,0,0,-3.4,0,0.2,0,-3.4,0,0
1,4,22,0,0,-3.9,0,0.2,0,-3.9,0,0
1,4,23,0,0,-4.3,0,0.2,0,-4.3,0,0
1,5,0,0,0,-4.6,0,0.2,0,-4.6,0,0
1,5,1,0,0,-4.9,0,0.2,0,-4.9,0,0
1,5,2,0,0,-5.2,0,0.2,0,-5.2,0,0
1,5,3,0,0,-5.4,0,0.2,0,-5.4,0,0
1,5,4,0,0,-5.4,0,0.2,0,-5.4,0,0
1,5,5,0,0,-5.4,0,0.2,0,-5.4,0,0
1,5,6,0,0,-5.2,0,0.2,0,-5.2,0,0
1,5,7,0,0,-5,0,0.2,0,-5,0,0
1,5,8,18,13,-4.7,0,0.2,0,-4.7,0,0
1,5,9,86,50,-4.4,0,0.2,181.212,2.935,2245.095,2109.259
1,5,10,161,80,-3,3,0.2,287.328,2.845,3800.605,3609.652
1,5,11,218,100,-1.1,6,0.2,360.268,3.775,4792.242,4566.151
1,5,12,241,107,1.4,9,0.2,387.692,5.327,5128.733,4890.719
1,5,13,223,101,1.9,9,0.2,360.711,5.554,4761.126,4536.138
1,5,14,170,84,1.7,9,0.2,287.122,4.609,3789.111,3598.565
1,5,15,96,55,0.8,6,0.2,178.149,3.209,2327.566,2188.808
1,5,16,25,18,0.1,3,0.2,44.232,0.993,538.315,462.958
1,5,17,0,0,-0.8,3,0.2,0,0,0,0
1,5,18,0,0,-2,0,0.2,0,-2,0,0
1,5,19,0,0,-2.8,0,0.2,0,-2.8,0,0
1,5,20,0,0,-3.5,0,0.2,0,-3.5,0,0
1,5,21,0,0,-4.2,0,0.2,0,-4.2,0,0
1,5,22,0,0,-4.7,0,0.2,0,-4.7,0,0
1,5,23,0,0,-5,3,0.2,0,-5,0,0
1,6,0,0,0,-5.2,6,0.2,0,-5.2,0,0
1,6,1,0,0,-5.8,6,0.2,0,-5.8,0,0
1,6,2,0,0,-6.6,3,0.2,0,-6.6,0,0
1,6,3,0,0,-7.6,0,0.2,0,-7.6,0,0
1,6,4,0,0,-8,0,0.2,0,-8,0,0
1,6,5,0,0,-8.3,0,0.2,0,-8.3,0,0
1,6,6,0,0,-8.4,0,0.2,0,-8.4,0,0
1,6,7,0,0,-7.6,0,0.2,0,-7.6,0,0
1,6,8,33,7,-6.3,0,0.2,0,-6.3,0,0
1,6,9,149,29,-4.4,0,0.2,239.083,5.292,2975.951,2814.219
1,6,10,269,46,-2,0,0.2,368.806,13.164,4747.046,4522.556
1,6,11,358,57,0.8,3,0.2,484.966,10.686,6343.215,6062.167
1,6,12,394,61,4.2,6,0.2,523.748,11.292,6830.514,6532.199
1,6,13,367,58,5.3,6,0.2,490.901,11.946,6381.52,6099.115
1,6,14,285,48,5.5,3,0.2,393.958,13.529,5082.729,4846.345
1,6,15,168,31,4.8,0,0.2,235.568,14.489,2989.788,2827.565
1,6,16,47,10,3.5,0,0.2,78.256,6.69,954.194,864.101
1,6,17,0,0,1.5,3,0.2,0,0,0,0
1,6,18,0,0,-1.2,6,0.2,0,-1.2,0,0
1,6,19,0,0,-2.1,6,0.2,0,-2.1,0,0
1,6,20,0,0,-2.5,3,0.2,0,-2.5,0,0
1,6,21,0,0,-2.4,0,0.2,0,-2.4,0,0
