power_level,mean_power,std_power,mean_sm_clock,std_sm_clock,total_time
100,99.15888618770846,2.5211161713058288,790.5569415324186,190.19435454561918,495.6101567745209
110,109.45790247694279,2.3157518891294546,981.0730897707936,174.5770472581869,425.13260221481323
120,119.07792937424057,2.731506247491936,1182.2804234040564,183.53309942587526,375.461989402771
130,128.78958025107082,2.966123610129842,1423.5724522507476,202.97735147664832,333.8490011692047
140,139.1277316200487,3.8521260426390427,1694.2929360413327,190.7573468925815,303.4572477340698
150,148.55404876913695,4.3367168147890185,1980.6850787944925,211.05866715355302,281.74070620536804
160,156.52721262113724,5.1184345190795355,2266.492164553177,181.90299020763024,265.8874592781067
170,165.55274725886048,5.451883052691809,2427.898788694482,144.12274444007292,259.01049065589905
180,176.11397249269245,6.417100999482611,2535.430670357537,105.30092076671929,255.7370617389679
190,186.19101751309913,6.949264832243183,2605.2034699993883,77.48818307284961,253.44339966773987
200,196.07923676790463,6.769410011436271,2656.0439861435593,66.39964495673834,251.93600487709045
210,204.65654434375318,8.640754054121233,2694.6755727522655,72.94248859214524,250.53527092933655
220,211.63803990661077,8.62047275285671,2721.181179471659,94.60528039903109,250.2670488357544
230,217.5937002203799,8.836252897023934,2745.6147759471087,101.20907217624332,248.71983432769775
240,222.3939540614857,8.291336854468586,2761.288635282929,107.49182489770965,247.96695637702942
250,224.83520991669178,8.82848744101069,2770.3507377295996,104.0185986754565,247.65824580192566
260,226.24193673811308,9.618837092713504,2775.3680744121557,101.57839702840477,247.43835854530334
270,227.1327236364328,8.588296520508187,2777.397901180586,101.98993314300692,247.4853138923645
280,227.54556978523152,9.546251550668345,2778.3693475608575,101.87728182667675,247.41796326637268
290,228.47052839631536,9.482450662945713,2778.1884383839847,103.60688559927833,245.95219588279724
300,228.33422279879477,9.55992179397951,2778.2530967525945,103.07432108643894,246.4200575351715
310,228.1430619073304,9.342504836687738,2777.7240269343865,105.66249003490286,246.43191123008728
320,225.96401713316058,9.676524460275282,2777.6980257636023,105.68087722862903,250.15562891960144
