Configuration,Total Grid Consumption,Total Cost
s0_d16_wdc100.csv,4995.237154628125,$1.73
s0_d16_wdc1000.csv,4819.344154628125,$1.65
s0_d16_wdc200.csv,5024.034154628125,$1.73
s0_d16_wdc300.csv,4952.828154628125,$1.71
s0_d16_wdc400.csv,4931.623154628125,$1.70
s0_d16_wdc500.csv,4730.418154628125,$1.61
s0_d16_wdc600.csv,4889.214154628125,$1.68
s0_d16_wdc700.csv,4708.108154628125,$1.60
s0_d16_wdc800.csv,5006.917154628125,$1.72
s0_d16_wdc900.csv,4825.725154628125,$1.65
s12_d16_wdc100.csv,5111.127999999999,$1.79
s12_d16_wdc1000.csv,3839.0229999999992,$1.27
s12_d16_wdc200.csv,4842.257,$1.70
s12_d16_wdc300.csv,4933.385999999999,$1.72
s12_d16_wdc400.csv,4824.513999999999,$1.70
s12_d16_wdc500.csv,4765.641999999999,$1.66
s12_d16_wdc600.csv,4546.770999999999,$1.57
s12_d16_wdc700.csv,4757.942999999999,$1.66
s12_d16_wdc800.csv,3719.0779999999995,$1.21
s12_d16_wdc900.csv,4890.211999999999,$1.70
s16_d16_wdc100.csv,4954.58949375,$1.46
s16_d16_wdc1000.csv,4954.58949375,$1.46
s16_d16_wdc200.csv,4954.58949375,$1.46
s16_d16_wdc300.csv,4954.58949375,$1.46
s16_d16_wdc400.csv,4954.58949375,$1.46
s16_d16_wdc500.csv,4954.58949375,$1.46
s16_d16_wdc600.csv,4954.58949375,$1.46
s16_d16_wdc700.csv,4954.58949375,$1.46
s16_d16_wdc800.csv,4954.58949375,$1.46
s16_d16_wdc900.csv,4954.58949375,$1.46
s20_d16_wdc100.csv,4938.128154628125,$1.53
s20_d16_wdc1000.csv,4780.854154628125,$1.46
s20_d16_wdc200.csv,4919.811154628125,$1.52
s20_d16_wdc300.csv,4901.4951546281245,$1.51
s20_d16_wdc400.csv,5103.178154628125,$1.60
s20_d16_wdc500.csv,4864.862154628125,$1.49
s20_d16_wdc600.csv,5066.545154628126,$1.58
s20_d16_wdc700.csv,5048.313154628126,$1.58
s20_d16_wdc800.csv,5030.0091546281255,$1.57
s20_d16_wdc900.csv,4791.704154628125,$1.46
s4_d16_wdc100.csv,4995.237154628125,$1.88
s4_d16_wdc1000.csv,4819.344154628125,$1.80
s4_d16_wdc200.csv,4974.034154628125,$1.87
s4_d16_wdc300.csv,4962.828154628125,$1.87
s4_d16_wdc400.csv,4931.623154628125,$1.85
s4_d16_wdc500.csv,4920.418154628125,$1.85
s4_d16_wdc600.csv,4889.214154628125,$1.83
s4_d16_wdc700.csv,4868.108154628125,$1.83
s4_d16_wdc800.csv,4906.917154628125,$1.84
s4_d16_wdc900.csv,4825.725154628125,$1.81
s8_d16_wdc100.csv,4758.792999999999,$1.89
s8_d16_wdc1000.csv,4762.9,$1.90
s8_d16_wdc200.csv,4397.59,$1.77
s8_d16_wdc300.csv,3746.383999999999,$1.45
s8_d16_wdc400.csv,4535.178999999999,$1.79
s8_d16_wdc500.csv,5013.973999999999,$2.00
s8_d16_wdc600.csv,4832.769999999999,$1.93
s8_d16_wdc700.csv,4971.663999999999,$1.98
s8_d16_wdc800.csv,4810.473,$1.92
s8_d16_wdc900.csv,4929.280999999999,$1.96
s0_d17_wdc100.csv,4105.237154628125,$1.34
s0_d17_wdc1000.csv,5079.344154628125,$1.75
s0_d17_wdc200.csv,5234.034154628125,$1.82
s0_d17_wdc300.csv,5432.828154628125,$1.91
s0_d17_wdc400.csv,4251.623154628125,$1.41
s0_d17_wdc500.csv,4410.418154628125,$1.48
s0_d17_wdc600.csv,3999.2141546281246,$1.30
s0_d17_wdc700.csv,5128.108154628125,$1.77
s0_d17_wdc800.csv,5106.917154628125,$1.76
s0_d17_wdc900.csv,5085.725154628125,$1.75
s12_d17_wdc100.csv,4901.128,$1.68
s12_d17_wdc1000.csv,4129.022999999999,$1.30
s12_d17_wdc200.csv,5082.256999999999,$1.75
s12_d17_wdc300.csv,4053.3859999999995,$1.28
s12_d17_wdc400.csv,4024.513999999999,$1.27
s12_d17_wdc500.csv,4165.642,$1.32
s12_d17_wdc600.csv,4156.770999999999,$1.31
s12_d17_wdc700.csv,4787.942999999999,$1.61
s12_d17_wdc800.csv,2719.078,$0.90
s12_d17_wdc900.csv,3630.212,$1.14
s16_d17_wdc100.csv,5081.145154628125,$1.51
s16_d17_wdc1000.csv,5225.334154628125,$1.56
s16_d17_wdc200.csv,5265.846154628125,$1.58
s16_d17_wdc300.csv,5070.547154628125,$1.51
s16_d17_wdc400.csv,5065.248154628125,$1.51
s16_d17_wdc500.csv,5059.949154628125,$1.50
s16_d17_wdc600.csv,5244.650154628125,$1.57
s16_d17_wdc700.csv,5049.374154628125,$1.50
s16_d17_wdc800.csv,5044.079154628125,$1.50
s16_d17_wdc900.csv,5228.783154628125,$1.56
s20_d17_wdc100.csv,4805.5801546281255,$1.47
s20_d17_wdc1000.csv,4318.757481555023,$1.25
s20_d17_wdc200.csv,4774.715154628126,$1.45
s20_d17_wdc300.csv,4743.8521546281245,$1.44
s20_d17_wdc400.csv,4712.987154628126,$1.43
s20_d17_wdc500.csv,4682.123154628125,$1.41
s20_d17_wdc600.csv,4651.258154628125,$1.40
s20_d17_wdc700.csv,4620.5311546281255,$1.38
s20_d17_wdc800.csv,4589.686154628125,$1.37
s20_d17_wdc900.csv,4340.3941761238975,$1.26
s4_d17_wdc100.csv,5255.237154628125,$1.96
s4_d17_wdc1000.csv,5299.344154628125,$1.98
s4_d17_wdc200.csv,5304.034154628125,$2.01
s4_d17_wdc300.csv,5212.828154628125,$1.94
s4_d17_wdc400.csv,3852.0438260424844,$1.40
s4_d17_wdc500.csv,5390.418154628125,$2.02
s4_d17_wdc600.csv,5149.214154628125,$1.91
s4_d17_wdc700.csv,3798.5310810424844,$1.38
s4_d17_wdc800.csv,5156.917154628125,$1.92
s4_d17_wdc900.csv,5165.725154628125,$1.94
s8_d17_wdc100.csv,5418.792999999999,$2.12
s8_d17_wdc1000.csv,5242.9,$2.04
s8_d17_wdc200.csv,5397.59,$2.11
s8_d17_wdc300.csv,5376.384,$2.10
s8_d17_wdc400.csv,5355.178999999999,$2.09
s8_d17_wdc500.csv,5333.973999999999,$2.08
s8_d17_wdc600.csv,5312.769999999999,$2.07
s8_d17_wdc700.csv,5291.663999999999,$2.06
