time,G_grid,W_grid,P_grid,R_grid,G_solar,W_solar,P_solar,R_solar,D_dc,D_grid,ESD,GPU_power,operations,job_completion,total_job_completion,minimum_cost
12,0.0,244.46999999998687,0.0,0.0,744.47,244.46999999998687,250.0,250.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
13,0.0,274.7360000000118,0.0,0.0,550.861,274.7360000000118,250.0,26.124999999988205,0.0,0.0,223.8750000000118,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
14,0.0,23.002562500001147,0.0,0.0,276.852,23.002562500001147,250.0,3.849437499998828,0.0,0.0,246.15056250000117,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
15,0.0,0.0,0.0,0.0,47.432,0.0,47.432,0.0,225.07555555555552,0.0,248.3669809687501,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
16,229.14252854248429,0.0,229.14252854248429,0.0,0.0,0.0,0.0,0.0,23.174968286128582,0.0,23.174968286128582,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
17,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
18,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
19,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
20,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
21,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
22,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
23,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
24,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
25,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
26,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
27,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
28,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
29,500.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
30,276.125,0.0,250.0,26.125,0.0,0.0,0.0,0.0,0.0,0.0,223.875,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
31,28.46449374999999,0.0,28.46449374999999,0.0,0.0,0.0,0.0,0.0,246.1505625,0.0,246.1505625,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
32,170.851,0.0,170.851,0.0,79.149,0.0,79.149,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
33,98.34200000000001,0.0,98.34200000000001,0.0,151.658,0.0,151.658,0.0,0.0,0.0,0.0,250.0,['Process 6 is executed'],0.045454545454545456,100.00%,1222.65
