time,minimum_cost,day,hour_in_day,day_hour
0,-0.20689,1,0,1d0h
1,-0.22538999999999998,1,1,1d1h
2,-0.26588999999999996,1,2,1d2h
3,-0.31955,1,3,1d3h
4,-0.37893,1,4,1d4h
5,-0.43319,1,5,1d5h
6,-0.473,1,6,1d6h
7,-0.47398,1,7,1d7h
8,-0.48973,1,8,1d8h
9,-0.42408999999999997,1,9,1d9h
10,-0.28223000000000004,1,10,1d10h
11,-0.06781999999999999,1,11,1d11h
12,0.1768,1,12,1d12h
13,0.40514,1,13,1d13h
14,0.57617,1,14,1d14h
15,0.67511,1,15,1d15h
16,0.6764600000000001,1,16,1d16h
17,0.65646,1,17,1d17h
18,0.64646,1,18,1d18h
19,0.63646,1,19,1d19h
20,0.62646,1,20,1d20h
21,0.61646,1,21,1d21h
22,0.60646,1,22,1d22h
23,0.59646,1,23,1d23h
24,0.60248,2,0,2d0h
25,0.54837,2,1,2d1h
26,0.41367000000000004,2,2,2d2h
27,0.20135,2,3,2d3h
28,-0.045829999999999996,2,4,2d4h
29,-0.27638,2,5,2d5h
30,-0.44398000000000004,2,6,2d6h
31,-0.50402,2,7,2d7h
32,-0.53423,2,8,2d8h
33,-0.50939,2,9,2d9h
34,-0.45888999999999996,2,10,2d10h
35,-0.39523,2,11,2d11h
36,-0.31985,2,12,2d12h
37,-0.24986000000000003,2,13,2d13h
38,-0.19625,2,14,2d14h
39,-0.16855,2,15,2d15h
40,-0.18331,2,16,2d16h
41,-0.20331,2,17,2d17h
42,-0.21331,2,18,2d18h
43,-0.22331,2,19,2d19h
44,-0.23331,2,20,2d20h
45,-0.24331,2,21,2d21h
46,-0.25331,2,22,2d22h
47,-0.26331,2,23,2d23h
48,-0.25729,3,0,3d0h
49,-0.31637,3,1,3d1h
50,-0.46088,3,2,3d2h
51,-0.69069,3,3,3d3h
52,-0.95989,3,4,3d4h
53,-1.21113,3,5,3d5h
54,-1.39483,3,6,3d6h
55,-1.46743,3,7,3d7h
56,-1.50023,3,8,3d8h
57,-1.4373,3,9,3d9h
58,-1.2926,3,10,3d10h
59,-1.07029,3,11,3d11h
60,-0.8131,3,12,3d12h
61,-0.57256,3,13,3d13h
62,-0.39423,3,14,3d14h
63,-0.29192,3,15,3d15h
64,-0.28752999999999995,3,16,3d16h
65,-0.30752999999999997,3,17,3d17h
66,-0.31753,3,18,3d18h
67,-0.32753,3,19,3d19h
68,-0.33753,3,20,3d20h
69,-0.34752999999999995,3,21,3d21h
70,-0.35752999999999996,3,22,3d22h
71,-0.36752999999999997,3,23,3d23h
72,-0.36151,4,0,4d0h
73,-0.41989,4,1,4d1h
74,-0.55347,4,2,4d2h
75,-0.74918,4,3,4d3h
76,-0.9731599999999999,4,4,4d4h
77,-1.18181,4,5,4d5h
78,-1.33758,4,6,4d6h
79,-1.40171,4,7,4d7h
80,-1.43234,4,8,4d8h
81,-1.3640999999999999,4,9,4d9h
82,-1.2096,4,10,4d10h
83,-0.96978,4,11,4d11h
84,-0.6905800000000001,4,12,4d12h
85,-0.42934,4,13,4d13h
86,-0.235,4,14,4d14h
87,-0.12309,4,15,4d15h
88,-0.11508,4,16,4d16h
89,-0.13508,4,17,4d17h
90,-0.14508000000000001,4,18,4d18h
91,-0.15508000000000002,4,19,4d19h
92,-0.16508,4,20,4d20h
93,-0.17508,4,21,4d21h
94,-0.18508000000000002,4,22,4d22h
95,-0.19508,4,23,4d23h
96,-0.18906,5,0,5d0h
97,-0.24862,5,1,5d1h
98,-0.3947,5,2,5d2h
99,-0.62676,5,3,5d3h
100,-0.89875,5,4,5d4h
101,-1.1536199999999999,5,5,5d5h
102,-1.34004,5,6,5d6h
103,-1.41326,5,7,5d7h
104,-1.44702,5,8,5d8h
105,-1.37997,5,9,5d9h
106,-1.23639,5,10,5d10h
107,-1.03068,5,11,5d11h
108,-0.7967000000000001,5,12,5d12h
109,-0.57805,5,13,5d13h
110,-0.41164,5,14,5d14h
111,-0.30766000000000004,5,15,5d15h
112,-0.30269999999999997,5,16,5d16h
113,-0.3227,5,17,5d17h
114,-0.3327,5,18,5d18h
115,-0.3427,5,19,5d19h
116,-0.3527,5,20,5d20h
117,-0.36269999999999997,5,21,5d21h
118,-0.3727,5,22,5d22h
119,-0.3827,5,23,5d23h
120,-0.37668,6,0,6d0h
121,-0.43116000000000004,6,1,6d1h
122,-0.5668300000000001,6,2,6d2h
123,-0.76746,6,3,6d3h
124,-0.99846,6,4,6d4h
125,-1.21618,6,5,6d5h
126,-1.37843,6,6,6d6h
127,-1.44127,6,7,6d7h
128,-1.47362,6,8,6d8h
129,-1.4051600000000002,6,9,6d9h
130,-1.2490899999999998,6,10,6d10h
131,-1.00702,6,11,6d11h
132,-0.72504,6,12,6d12h
133,-0.46017,6,13,6d13h
134,-0.26311,6,14,6d14h
135,-0.15080000000000002,6,15,6d15h
136,-0.14146,6,16,6d16h
137,-0.16146000000000002,6,17,6d17h
138,-0.17146,6,18,6d18h
139,-0.18146,6,19,6d19h
140,-0.19146000000000002,6,20,6d20h
141,-0.20146,6,21,6d21h
142,-0.21146,6,22,6d22h
143,-0.22146000000000002,6,23,6d23h
