time,minimum_cost,day,hour_in_day,day_hour
0,-0.05281,1,0,1d0h
1,-0.05281,1,1,1d1h
2,-0.05281,1,2,1d2h
3,-0.05281,1,3,1d3h
4,-0.05281,1,4,1d4h
5,-0.044039999999999996,1,5,1d5h
6,-0.059090000000000004,1,6,1d6h
7,-0.07585,1,7,1d7h
8,-0.15327000000000002,1,8,1d8h
9,-0.15972999999999998,1,9,1d9h
10,-0.08213,1,10,1d10h
11,0.08183,1,11,1d11h
12,0.29739,1,12,1d12h
13,0.52563,1,13,1d13h
14,0.71381,1,14,1d14h
15,0.81253,1,15,1d15h
16,0.82137,1,16,1d16h
17,0.80892,1,17,1d17h
18,0.80887,1,18,1d18h
19,0.80887,1,19,1d19h
20,0.80887,1,20,1d20h
21,0.79387,1,21,1d21h
22,0.77887,1,22,1d22h
23,0.76477,1,23,1d23h
24,0.76477,2,0,2d0h
25,0.76477,2,1,2d1h
26,0.76477,2,2,2d2h
27,0.76477,2,3,2d3h
28,0.76477,2,4,2d4h
29,0.7737999999999999,2,5,2d5h
30,0.72325,2,6,2d6h
31,0.61842,2,7,2d7h
32,0.38110000000000005,2,8,2d8h
33,0.14492,2,9,2d9h
34,-0.04443,2,10,2d10h
35,-0.15530000000000002,2,11,2d11h
36,-0.17195,2,12,2d12h
37,-0.123,2,13,2d13h
38,-0.0674,2,14,2d14h
39,-0.0422,2,15,2d15h
40,-0.049460000000000004,2,16,2d16h
41,-0.06196,2,17,2d17h
42,-0.06196,2,18,2d18h
43,-0.06196,2,19,2d19h
44,-0.06196,2,20,2d20h
45,-0.07571,2,21,2d21h
46,-0.08946,2,22,2d22h
47,-0.10321,2,23,2d23h
48,-0.10321,3,0,3d0h
49,-0.10321,3,1,3d1h
50,-0.10321,3,2,3d2h
51,-0.10321,3,3,3d3h
52,-0.10321,3,4,3d4h
53,-0.09443,3,5,3d5h
54,-0.15037999999999999,3,6,3d6h
55,-0.27116,3,7,3d7h
56,-0.52473,3,8,3d8h
57,-0.73982,3,9,3d9h
58,-0.85636,3,10,3d10h
59,-0.82838,3,11,3d11h
60,-0.67259,3,12,3d12h
61,-0.45427,3,13,3d13h
62,-0.26800999999999997,3,14,3d14h
63,-0.16557,3,15,3d15h
64,-0.15368,3,16,3d16h
65,-0.16618,3,17,3d17h
66,-0.16618,3,18,3d18h
67,-0.16618,3,19,3d19h
68,-0.16618,3,20,3d20h
69,-0.17993,3,21,3d21h
70,-0.19368000000000002,3,22,3d22h
71,-0.20743,3,23,3d23h
72,-0.20743,4,0,4d0h
73,-0.20743,4,1,4d1h
74,-0.20743,4,2,4d2h
75,-0.20743,4,3,4d3h
76,-0.20743,4,4,4d4h
77,-0.19866,4,5,4d5h
78,-0.2539,4,6,4d6h
79,-0.36382,4,7,4d7h
80,-0.58328,4,8,4d8h
81,-0.74818,4,9,4d9h
82,-0.81232,4,10,4d10h
83,-0.73891,4,11,4d11h
84,-0.55264,4,12,4d12h
85,-0.31145999999999996,4,13,4d13h
86,-0.11145999999999999,4,14,4d14h
87,0.00326,4,15,4d15h
88,0.01877,4,16,4d16h
89,0.0062699999999999995,4,17,4d17h
90,0.0062699999999999995,4,18,4d18h
91,0.0062699999999999995,4,19,4d19h
92,0.0062699999999999995,4,20,4d20h
93,-0.0074800000000000005,4,21,4d21h
94,-0.02123,4,22,4d22h
95,-0.03498,4,23,4d23h
96,-0.03498,5,0,5d0h
97,-0.03498,5,1,5d1h
98,-0.03498,5,2,5d2h
99,-0.03498,5,3,5d3h
100,-0.03498,5,4,5d4h
101,-0.02621,5,5,5d5h
102,-0.08263,5,6,5d6h
103,-0.20499,5,7,5d7h
104,-0.46081,5,8,5d8h
105,-0.67441,5,9,5d9h
106,-0.79571,5,10,5d10h
107,-0.7870499999999999,5,11,5d11h
108,-0.6550900000000001,5,12,5d12h
109,-0.45963,5,13,5d13h
110,-0.28588,5,14,5d14h
111,-0.18131999999999998,5,15,5d15h
112,-0.16885,5,16,5d16h
113,-0.18134999999999998,5,17,5d17h
114,-0.18134999999999998,5,18,5d18h
115,-0.18134999999999998,5,19,5d19h
116,-0.18134999999999998,5,20,5d20h
117,-0.1951,5,21,5d21h
118,-0.20885,5,22,5d22h
119,-0.2226,5,23,5d23h
120,-0.2226,6,0,6d0h
121,-0.2226,6,1,6d1h
122,-0.2226,6,2,6d2h
123,-0.2226,6,3,6d3h
124,-0.2226,6,4,6d4h
125,-0.21381999999999998,6,5,6d5h
126,-0.26517,6,6,6d6h
127,-0.37719,6,7,6d7h
128,-0.60157,6,8,6d8h
129,-0.77301,6,9,6d9h
130,-0.84466,6,10,6d10h
131,-0.7754800000000001,6,11,6d11h
132,-0.58512,6,12,6d12h
133,-0.34202999999999995,6,13,6d13h
134,-0.13993,6,14,6d14h
135,-0.02445,6,15,6d15h
136,-0.0076100000000000004,6,16,6d16h
137,-0.02011,6,17,6d17h
138,-0.02011,6,18,6d18h
139,-0.02011,6,19,6d19h
140,-0.02011,6,20,6d20h
141,-0.03386,6,21,6d21h
142,-0.04761,6,22,6d22h
143,-0.06136,6,23,6d23h
