time,minimum_cost,day,hour_in_day,day_hour
0,0.39907,1,0,1d0h
1,0.39907,1,1,1d1h
2,0.39907,1,2,1d2h
3,0.39907,1,3,1d3h
4,0.39907,1,4,1d4h
5,0.39907,1,5,1d5h
6,0.39976,1,6,1d6h
7,0.4239,1,7,1d7h
8,0.38389999999999996,1,8,1d8h
9,0.44262,1,9,1d9h
10,0.5640599999999999,1,10,1d10h
11,0.73297,1,11,1d11h
12,0.91695,1,12,1d12h
13,1.07841,1,13,1d13h
14,1.205,1,14,1d14h
15,1.25881,1,15,1d15h
16,1.24245,1,16,1d16h
17,1.23722,1,17,1d17h
18,1.26217,1,18,1d18h
19,1.26217,1,19,1d19h
20,1.26217,1,20,1d20h
21,1.26217,1,21,1d21h
22,1.26217,1,22,1d22h
23,1.26217,1,23,1d23h
24,1.2871700000000001,2,0,2d0h
25,1.2871700000000001,2,1,2d1h
26,1.2871700000000001,2,2,2d2h
27,1.2871700000000001,2,3,2d3h
28,1.2871700000000001,2,4,2d4h
29,1.2871700000000001,2,5,2d5h
30,1.28966,2,6,2d6h
31,1.3178299999999998,2,7,2d7h
32,1.26783,2,8,2d8h
33,1.27291,2,9,2d9h
34,1.2538099999999999,2,10,2d10h
35,1.16674,2,11,2d11h
36,1.0116,2,12,2d12h
37,0.81656,2,13,2d13h
38,0.6215499999999999,2,14,2d14h
39,0.45843,2,15,2d15h
40,0.35001,2,16,2d16h
41,0.31914,2,17,2d17h
42,0.32295999999999997,2,18,2d18h
43,0.32295999999999997,2,19,2d19h
44,0.32295999999999997,2,20,2d20h
45,0.32295999999999997,2,21,2d21h
46,0.32295999999999997,2,22,2d22h
47,0.32295999999999997,2,23,2d23h
48,0.34796,3,0,3d0h
49,0.34796,3,1,3d1h
50,0.34796,3,2,3d2h
51,0.34796,3,3,3d3h
52,0.34796,3,4,3d4h
53,0.34796,3,5,3d5h
54,0.34864,3,6,3d6h
55,0.37239999999999995,3,7,3d7h
56,0.33241000000000004,3,8,3d8h
57,0.39291000000000004,3,9,3d9h
58,0.47026,3,10,3d10h
59,0.53807,3,11,3d11h
60,0.55544,3,12,3d12h
61,0.51679,3,13,3d13h
62,0.44687,3,14,3d14h
63,0.34726,3,15,3d15h
64,0.24775999999999998,3,16,3d16h
65,0.21417,3,17,3d17h
66,0.21791999999999997,3,18,3d18h
67,0.21791999999999997,3,19,3d19h
68,0.21791999999999997,3,20,3d20h
69,0.21791999999999997,3,21,3d21h
70,0.21791999999999997,3,22,3d22h
71,0.21791999999999997,3,23,3d23h
72,0.24292,4,0,4d0h
73,0.24292,4,1,4d1h
74,0.24292,4,2,4d2h
75,0.24292,4,3,4d3h
76,0.24292,4,4,4d4h
77,0.24292,4,5,4d5h
78,0.24359999999999998,4,6,4d6h
79,0.26712,4,7,4d7h
80,0.22765000000000002,4,8,4d8h
81,0.29357,4,9,4d9h
82,0.3815,4,10,4d10h
83,0.47775,4,11,4d11h
84,0.55123,4,12,4d12h
85,0.5784900000000001,4,13,4d13h
86,0.5645800000000001,4,14,4d14h
87,0.50518,4,15,4d15h
88,0.41775999999999996,4,16,4d16h
89,0.38676,4,17,4d17h
90,0.39057,4,18,4d18h
91,0.39057,4,19,4d19h
92,0.39057,4,20,4d20h
93,0.39057,4,21,4d21h
94,0.39057,4,22,4d22h
95,0.39057,4,23,4d23h
96,0.41557,5,0,5d0h
97,0.41557,5,1,5d1h
98,0.41557,5,2,5d2h
99,0.41557,5,3,5d3h
100,0.41557,5,4,5d4h
101,0.41557,5,5,5d5h
102,0.41625,5,6,5d6h
103,0.44007999999999997,5,7,5d7h
104,0.40016,5,8,5d8h
105,0.46538,5,9,5d9h
106,0.5410900000000001,5,10,5d10h
107,0.59073,5,11,5d11h
108,0.5826399999999999,5,12,5d12h
109,0.5193099999999999,5,13,5d13h
110,0.43341,5,14,5d14h
111,0.3332,5,15,5d15h
112,0.23366,5,16,5d16h
113,0.19891,5,17,5d17h
114,0.20265,5,18,5d18h
115,0.20265,5,19,5d19h
116,0.20265,5,20,5d20h
117,0.20265,5,21,5d21h
118,0.20265,5,22,5d22h
119,0.20265,5,23,5d23h
120,0.22765000000000002,6,0,6d0h
121,0.22765000000000002,6,1,6d1h
122,0.22765000000000002,6,2,6d2h
123,0.22765000000000002,6,3,6d3h
124,0.22765000000000002,6,4,6d4h
125,0.22765000000000002,6,5,6d5h
126,0.22833,6,6,6d6h
127,0.25173,6,7,6d7h
128,0.21248,6,8,6d8h
129,0.27888,6,9,6d9h
130,0.3732,6,10,6d10h
131,0.46958999999999995,6,11,6d11h
132,0.54095,6,12,6d12h
133,0.5648099999999999,6,13,6d13h
134,0.5442,6,14,6d14h
135,0.47907,6,15,6d15h
136,0.39429000000000003,6,16,6d16h
137,0.36101,6,17,6d17h
138,0.36471,6,18,6d18h
139,0.36471,6,19,6d19h
140,0.36471,6,20,6d20h
141,0.36471,6,21,6d21h
142,0.36471,6,22,6d22h
143,0.36471,6,23,6d23h
