time,minimum_cost,day,hour_in_day,day_hour
0,-0.17541,1,0,1d0h
1,-0.17541,1,1,1d1h
2,-0.16813999999999998,1,2,1d2h
3,-0.18539,1,3,1d3h
4,-0.22463999999999998,1,4,1d4h
5,-0.27705,1,5,1d5h
6,-0.33455,1,6,1d6h
7,-0.36874,1,7,1d7h
8,-0.42919,1,8,1d8h
9,-0.39606,1,9,1d9h
10,-0.25995999999999997,1,10,1d10h
11,-0.04282,1,11,1d11h
12,0.20182,1,12,1d12h
13,0.43019999999999997,1,13,1d13h
14,0.60252,1,14,1d14h
15,0.7014600000000001,1,15,1d15h
16,0.7128,1,16,1d16h
17,0.7028,1,17,1d17h
18,0.6902999999999999,1,18,1d18h
19,0.6789700000000001,1,19,1d19h
20,0.66772,1,20,1d20h
21,0.65647,1,21,1d21h
22,0.64522,1,22,1d22h
23,0.6339600000000001,1,23,1d23h
24,0.6339600000000001,2,0,2d0h
25,0.6339600000000001,2,1,2d1h
26,0.64123,2,2,2d2h
27,0.58839,2,3,2d3h
28,0.45494,2,4,2d4h
29,0.24387,2,5,2d5h
30,-0.00135,2,6,2d6h
31,-0.20953,2,7,2d7h
32,-0.39786,2,8,2d8h
33,-0.4634,2,9,2d9h
34,-0.43311,2,10,2d10h
35,-0.37023,2,11,2d11h
36,-0.29485,2,12,2d12h
37,-0.22486,2,13,2d13h
38,-0.17125,2,14,2d14h
39,-0.14355,2,15,2d15h
40,-0.14831,2,16,2d16h
41,-0.15831,2,17,2d17h
42,-0.16956,2,18,2d18h
43,-0.18081,2,19,2d19h
44,-0.19206,2,20,2d20h
45,-0.20331,2,21,2d21h
46,-0.21456,2,22,2d22h
47,-0.22581,2,23,2d23h
48,-0.22581,3,0,3d0h
49,-0.22581,3,1,3d1h
50,-0.21853999999999998,3,2,3d2h
51,-0.27637,3,3,3d3h
52,-0.41963,3,4,3d4h
53,-0.64819,3,5,3d5h
54,-0.91551,3,6,3d6h
55,-1.1467,3,7,3d7h
56,-1.35104,3,8,3d8h
57,-1.38832,3,9,3d9h
58,-1.2664300000000002,3,10,3d10h
59,-1.04529,3,11,3d11h
60,-0.7881,3,12,3d12h
61,-0.5475599999999999,3,13,3d13h
62,-0.36923,3,14,3d14h
63,-0.26692,3,15,3d15h
64,-0.25253,3,16,3d16h
65,-0.26253,3,17,3d17h
66,-0.27377999999999997,3,18,3d18h
67,-0.28502999999999995,3,19,3d19h
68,-0.29628,3,20,3d20h
69,-0.30752999999999997,3,21,3d21h
70,-0.31877999999999995,3,22,3d22h
71,-0.33003,3,23,3d23h
72,-0.33003,4,0,4d0h
73,-0.33003,4,1,4d1h
74,-0.32276,4,2,4d2h
75,-0.37989,4,3,4d3h
76,-0.51222,4,4,4d4h
77,-0.70668,4,5,4d5h
78,-0.92877,4,6,4d6h
79,-1.11738,4,7,4d7h
80,-1.29379,4,8,4d8h
81,-1.31763,4,9,4d9h
82,-1.18375,4,10,4d10h
83,-0.94478,4,11,4d11h
84,-0.6655800000000001,4,12,4d12h
85,-0.40434,4,13,4d13h
86,-0.21,4,14,4d14h
87,-0.09809,4,15,4d15h
88,-0.08008,4,16,4d16h
89,-0.09008,4,17,4d17h
90,-0.10133,4,18,4d18h
91,-0.11258,4,19,4d19h
92,-0.12383,4,20,4d20h
93,-0.13508,4,21,4d21h
94,-0.14633000000000002,4,22,4d22h
95,-0.15758000000000003,4,23,4d23h
96,-0.15758000000000003,5,0,5d0h
97,-0.15758000000000003,5,1,5d1h
98,-0.15031,5,2,5d2h
99,-0.20862,5,3,5d3h
100,-0.35345,5,4,5d4h
101,-0.58426,5,5,5d5h
102,-0.85436,5,6,5d6h
103,-1.08917,5,7,5d7h
104,-1.29623,5,8,5d8h
105,-1.3298800000000002,5,9,5d9h
106,-1.2100499999999998,5,10,5d10h
107,-1.00568,5,11,5d11h
108,-0.7717,5,12,5d12h
109,-0.5530499999999999,5,13,5d13h
110,-0.38664,5,14,5d14h
111,-0.28266,5,15,5d15h
112,-0.2677,5,16,5d16h
113,-0.2777,5,17,5d17h
114,-0.28895,5,18,5d18h
115,-0.30019999999999997,5,19,5d19h
116,-0.31145,5,20,5d20h
117,-0.3227,5,21,5d21h
118,-0.33394999999999997,5,22,5d22h
119,-0.3452,5,23,5d23h
120,-0.3452,6,0,6d0h
121,-0.3452,6,1,6d1h
122,-0.33793,6,2,6d2h
123,-0.39116,6,3,6d3h
124,-0.52558,6,4,6d4h
125,-0.72496,6,5,6d5h
126,-0.95408,6,6,6d6h
127,-1.15175,6,7,6d7h
128,-1.33464,6,8,6d8h
129,-1.35671,6,9,6d9h
130,-1.22298,6,10,6d10h
131,-0.98202,6,11,6d11h
132,-0.70004,6,12,6d12h
133,-0.43517,6,13,6d13h
134,-0.23811000000000002,6,14,6d14h
135,-0.1258,6,15,6d15h
136,-0.10646,6,16,6d16h
137,-0.11646,6,17,6d17h
138,-0.12771,6,18,6d18h
139,-0.13896,6,19,6d19h
140,-0.15021,6,20,6d20h
141,-0.16146000000000002,6,21,6d21h
142,-0.17271,6,22,6d22h
143,-0.18396,6,23,6d23h
