timestamp,power_in_watts
1734636421.0773199,62.652
1734636421.2296886,62.357
1734636421.233471,62.357
1734636421.384501,62.254
1734636421.5341182,62.287
1734636421.685379,62.333
1734636421.6882765,62.333
1734636421.6947563,62.333
1734636421.7068331,62.333
1734636421.709287,62.333
1734636421.7114844,62.333
1734636421.7136576,62.333
1734636421.7159233,62.333
1734636421.71813,62.333
1734636421.7202854,62.333
1734636421.7224348,62.333
1734636421.724582,62.333
1734636421.726732,62.333
1734636421.728897,62.333
1734636421.731081,62.333
1734636421.7332585,62.333
1734636421.7354438,62.333
1734636421.7376535,62.333
1734636421.7398584,62.333
1734636421.7420626,62.333
1734636421.7442417,62.333
1734636421.7464266,62.333
1734636421.7486327,62.333
1734636421.7508147,62.333
1734636421.7529905,62.333
1734636421.7551725,62.333
1734636421.7573836,62.333
1734636421.7596004,62.345
1734636421.7617836,62.345
1734636421.7639823,62.345
1734636421.7661712,62.345
1734636421.76838,62.345
1734636421.7705612,62.345
1734636421.7727418,62.345
1734636421.7749288,62.345
1734636421.7771564,62.345
1734636421.7793717,62.345
1734636421.7815564,62.345
1734636421.7837389,62.345
1734636421.7859344,62.345
1734636421.7881482,62.345
1734636421.790333,62.345
1734636421.7925086,62.345
1734636421.7946858,62.345
1734636421.7969108,62.345
1734636421.799307,62.345
1734636421.8014913,62.345
1734636421.8036723,62.345
1734636421.805853,62.345
1734636421.8079834,62.345
1734636421.8101597,62.345
1734636421.8123386,62.345
1734636421.8145134,62.345
1734636421.8166995,62.345
1734636421.8188927,62.345
1734636421.8210678,62.345
1734636421.8232677,62.345
1734636421.82667,62.345
1734636421.8290498,62.345
1734636421.8312995,62.345
1734636421.8334782,62.345
1734636421.8356555,62.345
1734636421.8378356,62.345
1734636421.840013,62.345
1734636421.8423808,62.345
1734636421.844597,62.345
1734636421.8467915,62.345
1734636421.8490174,62.345
1734636421.8512545,62.345
1734636421.8535066,62.345
1734636421.855746,62.345
1734636421.8580046,62.345
1734636421.8602722,62.507
1734636421.8624907,62.507
1734636421.8646803,62.507
1734636421.8669035,62.507
1734636421.8692226,62.507
1734636421.871457,62.507
1734636421.873696,62.507
1734636421.8759224,62.507
1734636421.8781767,62.507
1734636421.88039,62.507
1734636421.8825893,62.507
1734636421.8847792,62.507
1734636421.8870676,62.507
1734636421.8893864,62.507
1734636421.8916743,62.507
1734636421.8939395,62.507
1734636421.896185,62.507
1734636421.8984003,62.507
1734636421.9006243,62.507
1734636421.9028203,62.507
1734636421.9050014,62.507
1734636421.9072223,62.507
1734636421.9094465,62.507
1734636421.911634,62.507
1734636421.9138138,62.507
1734636421.9159837,62.507
1734636421.9181685,62.507
1734636421.920385,62.507
1734636421.922566,62.507
1734636421.9247422,62.507
1734636421.9269228,62.507
1734636421.9291306,62.507
1734636421.9313436,62.507
1734636421.9335203,62.507
1734636421.9357028,62.507
1734636421.937885,62.507
1734636421.9400914,62.507
1734636421.9422722,62.507
1734636421.944463,62.507
1734636421.9466517,62.507
1734636421.9488392,62.507
1734636421.9510288,62.507
1734636421.9532123,62.507
1734636421.9554067,62.507
1734636421.9576428,62.507
1734636421.95985,64.203
1734636421.9620578,64.203
1734636421.9642503,64.203
1734636421.9664388,64.203
1734636421.9693463,64.203
1734636421.9715643,64.203
1734636421.9738164,64.203
1734636421.975987,64.203
1734636421.9781673,64.203
1734636421.9803472,64.203
1734636421.9825275,64.203
1734636421.984713,64.203
1734636421.9869485,64.203
1734636421.9891312,64.203
1734636421.9913127,64.203
1734636421.9935005,64.203
1734636421.9956787,64.203
1734636421.9978578,64.203
1734636422.0000362,64.203
1734636422.0022163,64.203
1734636422.0043955,64.203
1734636422.0065792,64.203
1734636422.0087574,64.203
1734636422.0110688,64.203
1734636422.0132515,64.203
1734636422.0155032,64.203
1734636422.0177126,64.203
1734636422.0199003,64.203
1734636422.022094,64.203
1734636422.0242765,64.203
1734636422.0264716,64.203
1734636422.0287201,64.203
1734636422.0309525,64.203
1734636422.033133,64.203
1734636422.0353158,64.203
1734636422.0374932,64.203
1734636422.039674,64.203
1734636422.041853,64.203
1734636422.044033,64.203
1734636422.0462093,64.203
1734636422.048385,64.203
1734636422.0505612,64.203
1734636422.0527368,64.203
1734636422.054944,64.203
1734636422.0572124,64.203
1734636422.0594292,67.156
1734636422.0616536,67.156
1734636422.0638733,67.156
1734636422.066085,67.156
1734636422.0682802,67.156
1734636422.0704768,67.156
1734636422.072659,67.156
1734636422.0748434,67.156
1734636422.077025,67.156
1734636422.0792165,67.156
1734636422.081394,67.156
1734636422.0835755,67.156
1734636422.0857792,67.156
1734636422.087959,67.156
1734636422.0901492,67.156
1734636422.092325,67.156
1734636422.0945017,67.156
1734636422.096683,67.156
1734636422.0988636,67.156
1734636422.1010463,67.156
1734636422.1032317,67.156
1734636422.1054082,67.156
1734636422.10759,67.156
1734636422.1097827,67.156
1734636422.111983,67.156
1734636422.1141613,67.156
1734636422.116338,67.156
1734636422.1185145,67.156
1734636422.120691,67.156
1734636422.122869,67.156
1734636422.1250482,67.156
1734636422.127225,67.156
1734636422.1294022,67.156
1734636422.1315796,67.156
1734636422.133756,67.156
1734636422.1359355,67.156
1734636422.1381295,67.156
1734636422.1403127,67.156
1734636422.1424937,67.156
1734636422.1446736,67.156
1734636422.1468513,67.156
1734636422.149034,67.156
1734636422.1512227,67.156
1734636422.1534023,67.156
1734636422.1555846,67.156
1734636422.157769,67.156
1734636422.1599476,78.337
1734636422.1621304,78.337
1734636422.164312,78.337
1734636422.1664903,78.337
1734636422.168742,78.337
1734636422.1710823,78.337
1734636422.173271,78.337
1734636422.175454,78.337
1734636422.177632,78.337
1734636422.1798177,78.337
1734636422.1820247,78.337
1734636422.1842134,78.337
1734636422.1863992,78.337
1734636422.1885765,78.337
1734636422.1907616,78.337
1734636422.1929665,78.337
1734636422.195151,78.337
1734636422.1974363,78.337
1734636422.1997375,78.337
1734636422.2019513,78.337
1734636422.204142,78.337
1734636422.206327,78.337
1734636422.2085073,78.337
1734636422.210698,78.337
1734636422.2129295,78.337
1734636422.2151158,78.337
1734636422.2173135,78.337
1734636422.2195015,78.337
1734636422.2217095,78.337
1734636422.2238913,78.337
1734636422.2260823,78.337
1734636422.2282605,78.337
1734636422.2304428,78.337
1734636422.232648,78.337
1734636422.2348316,78.337
1734636422.2370155,78.337
1734636422.2392359,78.337
1734636422.2414513,78.337
1734636422.2436314,78.337
1734636422.2458062,78.337
1734636422.2479818,78.337
1734636422.2501645,78.337
1734636422.2523687,78.337
1734636422.254548,78.337
1734636422.2567253,78.337
1734636422.2589016,78.337
1734636422.2610853,84.641
1734636422.263298,84.641
1734636422.2654834,84.641
1734636422.267686,84.641
1734636422.2698674,84.641
1734636422.2720766,84.641
1734636422.2742736,84.641
1734636422.276885,84.641
1734636422.2792416,84.641
1734636422.2814295,84.641
1734636422.2836366,84.641
1734636422.2858245,84.641
1734636422.2880397,84.641
1734636422.2902253,84.641
1734636422.2924323,84.641
1734636422.2946177,84.641
1734636422.2970343,84.641
1734636422.2992394,84.641
1734636422.301454,84.641
1734636422.3036609,84.641
1734636422.3058445,84.641
1734636422.3080323,84.641
1734636422.3102148,84.641
1734636422.3124173,84.641
1734636422.3146152,84.641
1734636422.3168077,84.641
1734636422.318984,84.641
1734636422.3211663,84.641
1734636422.323373,84.641
1734636422.325577,84.641
1734636422.3278763,84.641
1734636422.3300831,84.641
1734636422.3322985,84.641
1734636422.334494,84.641
1734636422.336683,84.641
1734636422.3388667,84.641
1734636422.3410509,84.641
1734636422.3432348,84.641
1734636422.3454142,84.641
1734636422.3475957,84.641
1734636422.3497758,84.641
1734636422.3519545,84.641
1734636422.3541398,84.641
1734636422.3563235,84.641
1734636422.358506,84.641
1734636422.3606908,95.492
1734636422.3628676,95.492
1734636422.3650434,95.492
1734636422.3672204,95.492
1734636422.3694453,95.492
1734636422.3716223,95.492
1734636422.373798,95.492
1734636422.3759775,95.492
1734636422.3781538,95.492
1734636422.3803296,95.492
1734636422.3825057,95.492
1734636422.384728,95.492
1734636422.386929,95.492
1734636422.3891797,95.492
1734636422.391522,95.492
1734636422.393715,95.492
1734636422.3959038,95.492
1734636422.3980992,95.492
1734636422.4002893,95.492
1734636422.4024696,95.492
1734636422.4046857,95.492
1734636422.4068708,95.492
1734636422.4090483,95.492
1734636422.411225,95.492
1734636422.4134018,95.492
1734636422.4156208,95.492
1734636422.4178066,95.492
1734636422.4199834,95.492
1734636422.4221697,95.492
1734636422.4243488,95.492
1734636422.4265265,95.492
1734636422.4287033,95.492
1734636422.4309072,95.492
1734636422.4330852,95.492
1734636422.4352622,95.492
1734636422.437438,95.492
1734636422.4396136,95.492
1734636422.4417913,95.492
1734636422.4440591,95.492
1734636422.4462447,95.492
1734636422.448426,95.492
1734636422.450605,95.492
1734636422.452803,95.492
1734636422.4549828,95.492
1734636422.457163,95.492
1734636422.4593515,103.596
1734636422.461529,103.596
1734636422.4637058,103.596
1734636422.4658818,103.596
1734636422.46806,103.596
1734636422.4702387,103.596
1734636422.472416,103.596
1734636422.4746048,103.596
1734636422.4767869,103.596
1734636422.4789803,103.596
1734636422.481191,103.596
1734636422.4833677,103.596
1734636422.4855435,103.596
1734636422.4877362,103.596
1734636422.4899123,103.596
1734636422.4920888,103.596
1734636422.4942656,103.596
1734636422.496441,103.596
1734636422.4986165,103.596
1734636422.5007923,103.596
1734636422.502972,103.596
1734636422.5051696,103.596
1734636422.5073524,103.596
1734636422.509533,103.596
1734636422.5117133,103.596
1734636422.5138893,103.596
1734636422.5160794,103.596
1734636422.5182765,103.596
1734636422.5204532,103.596
1734636422.5226297,103.596
1734636422.5248199,103.596
1734636422.527002,103.596
1734636422.5291824,103.596
1734636422.5313737,103.596
1734636422.5335498,103.596
1734636422.5357273,103.596
1734636422.5379057,103.596
1734636422.5400875,103.596
1734636422.5422633,103.596
1734636422.5444396,103.596
1734636422.5466254,103.596
1734636422.5488012,103.596
1734636422.5509772,103.596
1734636422.5531542,103.596
1734636422.555367,103.596
1734636422.557545,103.596
1734636422.5597205,113.145
1734636422.561897,113.145
