timestamp,power_in_watts,sm_clock
1756991901.9518971, 33.988, 1710
1756991902.4925706, 53.524, 1710
1756991902.753886, 60.21, 1710
1756991903.0296497, 93.63, 1710
1756991903.0357406, 93.63, 1710
1756991903.03902, 93.63, 1710
1756991903.0420783, 93.63, 1710
1756991903.044879, 93.63, 1710
1756991903.0476742, 93.63, 1710
1756991903.0504797, 93.63, 1710
1756991903.0532951, 93.63, 1710
1756991903.0561616, 93.63, 1710
1756991903.0592587, 93.63, 1710
1756991903.0622246, 93.63, 1710
1756991903.065074, 93.63, 1710
1756991903.0678797, 93.63, 1710
1756991903.0726388, 93.63, 1710
1756991903.0756826, 93.63, 1710
1756991903.0784738, 93.63, 1710
1756991903.0813377, 93.63, 1710
1756991903.084125, 93.63, 1710
1756991903.086949, 93.63, 1710
1756991903.089838, 93.63, 1710
1756991903.0927038, 93.63, 1710
1756991903.0955682, 93.63, 1710
1756991903.0984056, 93.63, 1710
1756991903.1012638, 93.63, 1710
1756991903.1040637, 93.63, 1710
1756991903.106845, 93.63, 1710
1756991903.1096432, 93.63, 1710
1756991903.1128473, 93.63, 1710
1756991903.1166027, 93.63, 1710
1756991903.1196814, 93.63, 1710
1756991903.1226726, 93.63, 1710
1756991903.1258612, 93.63, 1710
1756991903.1288698, 93.63, 1710
1756991903.1319277, 93.63, 1710
1756991903.1347284, 93.63, 1710
1756991903.1376328, 93.63, 1710
1756991903.1404896, 93.63, 1710
1756991903.143344, 93.63, 1710
1756991903.1461744, 93.63, 1710
1756991903.14903, 93.63, 1710
1756991903.1517973, 93.63, 1710
1756991903.154649, 93.63, 1710
1756991903.1575031, 93.63, 1710
1756991903.160297, 93.63, 1710
1756991903.1630793, 93.63, 1710
1756991903.1659198, 93.63, 1710
1756991903.1687899, 93.63, 1710
1756991903.1716552, 93.63, 1710
1756991903.174471, 93.63, 1710
1756991903.1773322, 93.63, 1710
1756991903.1801634, 93.63, 1710
1756991903.1830072, 93.63, 1710
1756991903.185834, 93.63, 1710
1756991903.1889222, 93.63, 1710
1756991903.1916943, 93.63, 1710
1756991903.1945212, 93.63, 1710
1756991903.197354, 93.63, 1710
1756991903.2001965, 93.63, 1710
1756991903.2029963, 93.63, 1710
1756991903.2058318, 93.63, 1710
1756991903.2086446, 93.63, 1710
1756991903.2115164, 93.63, 1710
1756991903.2143004, 93.63, 1710
1756991903.2170732, 93.63, 1710
1756991903.2199054, 93.63, 1710
1756991903.2226934, 93.63, 1710
1756991903.225517, 93.63, 1710
1756991903.228328, 93.63, 1710
1756991903.2311313, 93.63, 1710
1756991903.2340016, 93.63, 1710
1756991903.236794, 93.63, 1710
1756991903.2395852, 93.63, 1710
1756991903.2423985, 93.63, 1710
1756991903.2451928, 93.63, 1710
1756991903.2480516, 93.63, 1710
1756991903.250862, 93.63, 1710
1756991903.253664, 93.63, 1710
1756991903.256725, 93.63, 1710
1756991903.2597563, 93.63, 1710
1756991903.262805, 93.63, 1710
1756991903.2659805, 93.63, 1710
1756991903.2690525, 93.63, 1710
1756991903.2721634, 93.63, 1710
1756991903.2760916, 93.63, 1710
1756991903.2850995, 94.1, 1710
1756991903.2879484, 94.1, 1710
1756991903.290998, 94.1, 1710
1756991903.2945533, 94.1, 1710
1756991903.2977939, 94.1, 1710
1756991903.300824, 94.1, 1710
1756991903.3039386, 94.1, 1710
1756991903.3070664, 94.1, 1710
1756991903.3100107, 94.6, 1710
1756991903.3130014, 94.6, 1710
1756991903.3207672, 94.6, 1710
1756991903.3238115, 94.6, 1710
1756991903.3267636, 94.6, 1710
1756991903.3296962, 94.6, 1710
1756991903.332857, 94.6, 1710
1756991903.3370867, 94.6, 1710
1756991903.3402429, 94.6, 1710
1756991903.3432376, 94.6, 1710
1756991903.3461857, 94.6, 1710
1756991903.350224, 94.6, 1710
1756991903.3536122, 94.6, 1710
1756991903.3569086, 94.6, 1710
1756991903.3916945, 94.6, 1710
1756991903.395625, 94.6, 1710
1756991903.3991785, 94.6, 1710
1756991903.4024656, 94.6, 1710
1756991903.4057558, 94.6, 1710
1756991903.4090824, 94.6, 1710
1756991903.412146, 99.484, 1710
1756991903.4153137, 99.484, 1710
1756991903.4194553, 99.484, 1710
1756991903.4223142, 99.484, 1710
1756991903.4252052, 99.484, 1710
1756991903.4280868, 99.484, 1710
1756991903.4309256, 99.484, 1710
1756991903.4343603, 99.484, 1710
1756991903.4375625, 99.484, 1710
1756991903.4405358, 99.484, 1710
1756991903.443398, 99.484, 1710
1756991903.44624, 99.484, 1710
1756991903.4491017, 99.484, 1710
1756991903.4521012, 99.484, 1710
1756991903.4553046, 99.484, 1710
1756991903.459428, 99.484, 1710
1756991903.4626093, 99.484, 1710
1756991903.4656754, 99.484, 1710
1756991903.468678, 99.484, 1710
1756991903.4719183, 99.484, 1710
1756991903.475614, 99.484, 1710
1756991903.4792068, 99.484, 1710
1756991903.4822652, 99.484, 1710
1756991903.485417, 99.484, 1710
1756991903.4882293, 99.484, 1710
1756991903.4911182, 99.484, 1710
1756991903.494394, 99.484, 1710
1756991903.4975662, 99.484, 1710
1756991903.5006015, 99.484, 1710
1756991903.5034196, 99.484, 1710
1756991903.506256, 99.484, 1710
1756991903.509076, 99.484, 1710
1756991903.5119627, 104.644, 1710
1756991903.5153885, 104.644, 1935
1756991903.524776, 104.644, 1950
1756991903.5276847, 104.644, 1950
1756991903.5311415, 104.644, 1950
1756991903.5350778, 104.644, 1950
1756991903.5395646, 104.644, 1950
1756991903.5429316, 104.644, 1950
1756991903.5463815, 104.644, 1950
1756991903.549823, 104.644, 1950
1756991903.5528457, 104.644, 1950
1756991903.5562754, 104.644, 1950
1756991903.5593863, 104.644, 1950
1756991903.5622966, 104.644, 1950
1756991903.5652063, 104.644, 1950
1756991903.56814, 104.644, 1950
1756991903.5712042, 104.644, 1950
1756991903.5744627, 104.644, 1950
1756991903.57777, 104.644, 1950
1756991903.5807645, 104.644, 1950
1756991903.5837343, 104.644, 1950
1756991903.58656, 104.644, 1950
1756991903.5894217, 104.644, 1950
1756991903.5929341, 104.644, 1950
1756991903.5963163, 104.644, 1950
1756991903.5992396, 104.644, 1950
1756991903.602311, 104.644, 1950
1756991903.6051228, 104.644, 1935
1756991903.6510563, 114.293, 1935
1756991903.6542845, 114.293, 1935
1756991903.6578684, 114.293, 1935
1756991903.6608827, 114.293, 1935
1756991903.6639054, 114.293, 1935
1756991903.667177, 114.293, 1935
1756991903.6703687, 114.293, 1935
1756991903.6735392, 114.293, 1935
1756991903.6773067, 114.293, 1935
1756991903.6808505, 114.293, 1935
1756991903.6838267, 114.293, 1935
