timestamp,power_in_watts,step
1736651554.6888766,15.949,idle
1736651554.8973124,24.392,idle
1736651555.007175,28.147,idle
1736651555.1082635,46.295,idle
1736651555.115637,46.295,idle
1736651555.118292,46.295,idle
1736651555.1213615,46.295,idle
1736651555.124264,46.295,idle
1736651555.126827,46.295,idle
1736651555.1293013,46.295,idle
1736651555.131764,46.295,idle
1736651555.1342278,46.295,idle
1736651555.136711,46.295,idle
1736651555.1391869,46.295,idle
1736651555.141878,46.295,idle
1736651555.1447563,46.295,idle
1736651555.1473382,46.295,idle
1736651555.1499317,46.295,idle
1736651555.152401,46.295,idle
1736651555.1548674,46.295,idle
1736651555.1573484,46.295,idle
1736651555.1598065,46.295,idle
1736651555.162667,46.295,idle
1736651555.1655097,46.295,idle
1736651555.1680646,46.295,idle
1736651555.1705873,46.295,idle
1736651555.1730652,46.295,idle
1736651555.175685,46.295,idle
1736651555.1782386,50.824,idle
1736651555.180699,50.824,idle
1736651555.1836314,50.824,idle
1736651555.186232,50.824,idle
1736651555.1888103,50.824,idle
1736651555.1913953,50.824,idle
1736651555.1939802,50.824,idle
1736651555.1964316,50.824,idle
1736651555.1988842,50.824,idle
1736651555.201331,50.824,idle
1736651555.2041452,50.824,idle
1736651555.2066753,50.824,idle
1736651555.2091272,50.824,idle
1736651555.2115777,50.824,idle
1736651555.2140229,50.824,idle
1736651555.2164686,50.824,idle
1736651555.2189186,50.824,idle
1736651555.221362,50.824,idle
1736651555.224233,50.824,idle
1736651555.2268505,50.824,idle
1736651555.229416,50.824,idle
1736651555.2319837,50.824,idle
1736651555.2345488,50.824,idle
1736651555.237074,50.824,idle
1736651555.239647,50.824,idle
1736651555.2424755,50.824,idle
1736651555.2452772,50.824,idle
1736651555.247908,50.824,idle
1736651555.250494,50.824,idle
1736651555.2530673,50.824,idle
1736651555.2556384,50.824,idle
1736651555.2582035,50.824,idle
1736651555.2607696,50.824,idle
1736651555.26371,50.824,idle
1736651555.2663386,50.824,idle
1736651555.268973,50.824,idle
1736651555.2715802,50.824,idle
1736651555.2742274,50.824,idle
1736651555.2768257,50.824,idle
1736651555.2795136,54.683,idle
1736651555.2825367,54.683,idle
1736651555.287484,54.683,idle
1736651555.2902071,54.683,idle
1736651555.2929182,54.683,idle
1736651555.2955277,54.683,idle
1736651555.2981231,54.683,idle
1736651555.3007135,54.683,idle
1736651555.303677,54.683,idle
1736651555.3064115,54.683,idle
1736651555.3090746,54.683,idle
1736651555.3116753,54.683,idle
1736651555.3142672,54.683,idle
1736651555.316869,54.683,idle
1736651555.319462,54.683,idle
1736651555.322145,54.683,idle
1736651555.3249767,54.683,idle
1736651555.3276389,54.683,idle
1736651555.3302293,54.683,idle
1736651555.332828,54.683,idle
1736651555.335476,54.683,idle
1736651555.3380656,54.683,idle
1736651555.3406568,54.683,idle
1736651555.3436148,54.683,idle
1736651555.346267,54.683,idle
1736651555.3489442,54.683,idle
1736651555.3515463,54.683,idle
1736651555.3542562,54.683,idle
1736651555.3569844,54.683,idle
1736651555.3596158,54.683,idle
1736651555.3626,54.683,idle
1736651555.365625,54.683,idle
1736651555.3682506,54.683,idle
1736651555.3708572,54.683,idle
1736651555.3734505,54.683,idle
1736651555.3760624,54.683,idle
1736651555.3786604,58.011,idle
1736651555.3812675,58.011,idle
1736651555.38423,58.011,idle
1736651555.3869145,58.011,idle
1736651555.389506,58.011,idle
1736651555.3921092,58.011,idle
1736651555.394703,58.011,idle
1736651555.3973017,58.011,idle
1736651555.399995,58.011,idle
1736651555.4045136,58.011,idle
1736651555.407228,58.011,to_device
1736651555.4098303,58.011,to_device
1736651555.4124289,58.011,to_device
1736651555.4150283,58.011,to_device
1736651555.417633,58.011,to_device
1736651555.4202578,58.011,to_device
1736651555.423224,58.011,to_device
1736651555.4259028,58.011,to_device
1736651555.4285178,58.011,forward
1736651555.4311855,58.011,forward
1736651555.4337902,58.011,forward
1736651555.4364169,58.011,forward
1736651555.4391806,58.011,forward
1736651555.44196,58.011,forward
1736651555.4449463,58.011,forward
1736651555.447717,58.011,forward
1736651555.4503503,58.011,forward
1736651555.4530404,58.011,forward
1736651555.4556596,58.011,forward
1736651555.458289,58.011,forward
1736651555.4609077,58.011,forward
1736651555.4639263,58.011,forward
1736651555.4674647,58.011,forward
1736651555.4700725,58.011,forward
1736651555.4726813,58.011,forward
1736651555.475387,58.011,forward
1736651555.4780583,64.207,forward
1736651555.4808328,64.207,forward
1736651555.487392,64.207,backward
1736651555.4901764,64.207,backward
1736651555.4928007,64.207,backward
1736651555.4954112,64.207,backward
1736651555.4980445,64.207,backward
1736651555.5006697,64.207,backward
1736651555.5037348,64.207,backward
1736651555.5073702,64.207,backward
1736651555.5100396,64.207,backward
1736651555.5126398,64.207,backward
1736651555.5152533,64.207,backward
1736651555.517861,64.207,backward
1736651555.52046,64.207,backward
1736651555.5234942,64.207,backward
1736651555.5275536,64.207,backward
1736651555.5302904,64.207,backward
1736651555.533043,64.207,backward
1736651555.5358112,64.207,backward
1736651555.538546,64.207,backward
1736651555.5412872,64.207,backward
1736651555.5444272,64.207,backward
1736651555.5473597,64.207,backward
1736651555.5501418,64.207,backward
1736651555.5528846,64.207,backward
1736651555.555646,64.207,backward
1736651555.5583909,64.207,backward
1736651555.5611086,64.207,backward
1736651555.5643492,64.207,backward
1736651555.5674033,64.207,backward
1736651555.5701516,64.207,backward
1736651555.573514,64.207,optimize
1736651555.5766757,64.207,idle
1736651555.5795336,73.152,idle
1736651555.58286,73.152,idle
1736651555.5858068,73.152,idle
1736651555.5885744,73.152,idle
1736651555.5912232,73.152,idle
1736651555.5938385,73.152,idle
1736651555.5965695,73.152,idle
1736651555.599201,73.152,idle
1736651555.6019526,73.152,idle
1736651555.605414,73.152,idle
1736651555.6083748,73.152,to_device
1736651555.611061,73.152,to_device
1736651555.6136775,73.152,to_device
1736651555.6162949,73.152,to_device
1736651555.6189396,73.152,to_device
1736651555.621719,73.152,to_device
1736651555.624736,73.152,to_device
1736651555.6274226,73.152,to_device
1736651555.6300356,73.152,forward
1736651555.633174,73.152,forward
1736651555.6357863,73.152,forward
1736651555.6383908,73.152,forward
1736651555.6410136,73.152,forward
1736651555.644108,73.152,forward
1736651555.6473742,73.152,forward
1736651555.650175,73.152,forward
1736651555.652985,73.152,forward
1736651555.65566,73.152,forward
1736651555.658304,73.152,forward
1736651555.6609251,73.152,forward
1736651555.6639297,73.152,forward
1736651555.667197,73.152,forward
1736651555.6697948,73.152,forward
1736651555.6724768,73.152,backward
1736651555.675084,73.152,backward
1736651555.6777008,78.488,backward
1736651555.6803188,78.488,backward
1736651555.6874914,78.488,backward
1736651555.6937623,78.488,backward
1736651555.6963754,78.488,backward
1736651555.6989777,78.488,backward
1736651555.7016945,78.488,backward
1736651555.7047095,78.488,backward
1736651555.707465,78.488,backward
1736651555.710072,78.488,backward
1736651555.7126834,78.488,backward
1736651555.7152858,78.488,backward
1736651555.7178924,78.488,backward
1736651555.7204938,78.488,backward
1736651555.723487,78.488,backward
1736651555.7628326,78.488,idle
1736651555.769873,78.488,idle
1736651555.773298,78.488,idle
1736651555.814872,134.762,forward
1736651555.817556,134.762,forward
1736651555.8201602,134.762,forward
1736651555.8231726,134.762,forward
1736651555.827261,134.762,forward
1736651555.829841,134.762,forward
1736651555.8324072,134.762,forward
1736651555.834986,134.762,forward
1736651555.837582,134.762,forward
1736651555.8401563,134.762,forward
1736651555.8432856,134.762,forward
1736651555.8488305,134.762,forward
1736651555.8513963,134.762,backward
1736651555.8539546,134.762,backward
1736651555.8565109,134.762,backward
1736651555.8590677,134.762,backward
1736651555.861769,134.762,backward
1736651555.8647776,134.762,backward
1736651555.869038,134.762,backward
1736651555.87161,134.762,backward
1736651555.8741534,134.762,backward
1736651555.8767712,134.762,backward
1736651555.8793929,149.649,backward
1736651555.8827355,149.649,backward
1736651555.8883257,149.649,backward
1736651555.8909938,149.649,backward
1736651555.893557,149.649,backward
1736651555.8961103,149.649,backward
1736651555.8986738,149.649,backward
1736651555.9012983,149.649,backward
1736651555.904407,149.649,backward
1736651555.9088342,149.649,backward
1736651555.911403,149.649,backward
1736651555.9139502,149.649,backward
1736651555.9165242,149.649,backward
1736651555.9190896,149.649,backward
1736651555.921795,149.649,backward
1736651555.9249682,149.649,backward
1736651555.9292018,149.649,idle
1736651555.9318953,149.649,idle
1736651555.9345417,149.649,idle
1736651555.9371054,149.649,idle
1736651555.9402173,149.649,idle
1736651555.9432857,149.649,idle
1736651555.9486914,149.649,idle
1736651555.9513905,149.649,idle
