timestamp,power_in_watts
1733745261.0837264,14.506
1733745261.0941436,14.506
1733745261.1042671,14.506
1733745261.1143901,20.953
1733745261.124522,20.953
1733745261.134669,20.953
1733745261.144906,20.953
1733745261.1550777,20.953
1733745261.1653306,20.953
1733745261.175541,20.953
1733745261.1857436,20.953
1733745261.1959207,20.953
1733745261.20611,20.953
1733745261.2163002,25.869
1733745261.226491,25.869
1733745261.2366817,25.869
1733745261.2468734,25.869
1733745261.2570724,25.869
1733745261.267262,25.869
1733745261.277535,25.869
1733745261.2877252,25.869
1733745261.2979155,25.869
1733745261.3081164,25.869
1733745261.3183048,30.041
1733745261.3285258,30.041
1733745261.338882,30.041
1733745261.3491511,30.041
1733745261.3593495,30.041
1733745261.3695724,30.041
1733745261.3797653,30.041
1733745261.389954,30.041
1733745261.4001436,30.041
1733745261.4103436,33.63
1733745261.4205341,33.63
1733745261.4307315,33.63
1733745261.4409208,33.63
1733745261.4511092,33.63
1733745261.4612985,33.63
1733745261.4714859,33.63
1733745261.4816735,33.63
1733745261.491864,33.63
1733745261.5020509,33.63
1733745261.512237,36.749
1733745261.522426,36.749
1733745261.5326104,36.749
1733745261.5427942,36.749
1733745261.5529845,36.749
1733745261.5631955,36.749
1733745261.5734034,36.749
1733745261.5835989,36.749
1733745261.5937872,36.749
1733745261.6039758,36.749
1733745261.6141682,39.469
1733745261.6243598,39.469
1733745261.6345503,39.469
1733745261.6447432,39.469
1733745261.6549318,39.469
1733745261.6651225,39.469
1733745261.6753242,39.469
1733745261.6855175,39.469
1733745261.6957064,39.469
1733745261.7058933,39.469
1733745261.71608,41.864
1733745261.726273,41.864
1733745261.736465,41.864
1733745261.7466543,41.864
1733745261.7568445,41.864
1733745261.7670333,41.864
1733745261.7772195,41.864
1733745261.7874072,41.864
1733745261.7975965,41.864
1733745261.8077822,41.864
1733745261.8179684,44.011
1733745261.8281558,44.011
1733745261.8383443,44.011
1733745261.848535,44.011
1733745261.8587294,44.011
1733745261.8689253,44.011
1733745261.8791647,44.011
1733745261.8895156,44.011
1733745261.899737,44.011
1733745261.9099364,45.938
1733745261.9201438,45.938
1733745261.9303732,45.938
1733745261.9406717,45.938
1733745261.950871,45.938
1733745261.9610634,45.938
1733745261.9713314,45.938
1733745261.981525,45.938
1733745261.9917169,45.938
1733745262.0019095,45.938
1733745262.012098,76.878
1733745262.0222924,76.878
1733745262.032481,76.878
1733745262.0426664,76.878
1733745262.052862,76.878
1733745262.063077,76.878
1733745262.073271,76.878
1733745262.0834634,76.878
1733745262.1134572,76.878
1733745262.1418898,76.878
1733745262.1676605,76.878
1733745262.1783202,76.878
1733745262.2069292,76.878
1733745262.2181249,76.878
1733745262.2285237,76.878
1733745262.2386487,76.878
1733745262.248768,76.878
1733745262.2588983,76.878
1733745262.2690196,76.878
1733745262.2791374,76.878
1733745262.2892518,76.878
1733745262.299381,76.878
1733745262.30957,76.878
1733745262.3197644,76.878
1733745262.329958,76.878
1733745262.3401928,76.878
1733745262.350521,76.878
1733745262.3607547,76.878
1733745262.3711414,76.878
1733745262.3815053,76.878
1733745262.391751,76.878
1733745262.4020483,76.878
1733745262.4122255,76.878
1733745262.422413,76.878
1733745262.4325993,76.878
1733745262.4428067,76.878
1733745262.4531085,76.878
1733745262.463334,76.878
1733745262.4735734,76.878
1733745262.4837215,80.413
1733745262.4938772,80.413
1733745262.50404,80.413
1733745262.514292,80.425
1733745262.5245054,80.425
1733745262.5347369,80.425
1733745262.5449538,80.425
1733745262.5552337,80.425
1733745262.5654733,80.425
1733745262.5756707,80.425
1733745262.5858634,80.425
1733745262.596063,80.425
1733745262.606281,80.425
1733745262.616501,80.446
1733745262.6268094,80.446
1733745262.6370234,80.446
1733745262.6472373,80.446
1733745262.657478,80.446
1733745262.6676784,80.446
1733745262.6778715,80.446
1733745262.6880717,80.446
1733745262.6983159,80.446
1733745262.708522,80.884
1733745262.7187269,80.884
1733745262.7289312,80.884
1733745262.739129,80.884
1733745262.7493443,80.884
1733745262.759602,80.884
1733745262.7698007,80.884
1733745262.7800348,80.884
1733745262.7903705,80.884
1733745262.8005881,80.884
1733745262.8108103,82.499
1733745262.821131,82.499
1733745262.8314376,82.499
1733745262.8417437,82.499
1733745262.8520546,82.499
1733745262.8624258,82.499
1733745262.8727298,82.499
1733745262.8830378,82.499
1733745262.8933275,82.499
1733745262.9035459,82.499
1733745262.9137876,85.091
1733745262.9240973,85.091
1733745262.9344037,85.091
1733745262.9447095,85.091
1733745262.9550114,85.091
1733745262.9653344,85.091
1733745262.975627,85.091
1733745262.985911,85.091
1733745262.9962292,85.091
1733745263.0064526,85.091
1733745263.0166638,87.972
1733745263.0268607,87.972
1733745263.0371037,87.972
1733745263.0473433,87.972
1733745263.057545,87.972
1733745263.0677664,87.972
1733745263.0779717,87.972
1733745263.0881724,87.972
1733745263.0983658,87.972
1733745263.1085532,96.872
1733745263.118745,96.872
1733745263.1289372,96.872
1733745263.1391342,96.872
1733745263.1493676,96.872
1733745263.1595776,96.872
1733745263.1697795,96.872
1733745263.1799846,96.872
1733745263.1901891,96.872
1733745263.200449,96.872
1733745263.2106643,107.24
1733745263.2208664,107.24
1733745263.2310703,107.24
1733745263.2412732,107.24
1733745263.2514973,107.24
1733745263.2618787,107.24
1733745263.2721884,107.24
1733745263.2824762,107.24
1733745263.292716,107.24
1733745263.3030486,107.24
1733745263.3132617,116.619
1733745263.323482,116.619
1733745263.3336942,116.619
1733745263.3439188,116.619
1733745263.354261,116.619
1733745263.3646152,116.619
1733745263.374918,116.619
1733745263.3852017,116.619
1733745263.3954234,116.619
1733745263.4056287,116.619
1733745263.4158194,125.844
1733745263.4260097,125.844
1733745263.4361968,125.844
1733745263.446385,125.844
1733745263.456582,125.844
1733745263.4667795,125.844
1733745263.4769692,125.844
1733745263.4871573,125.844
1733745263.4973454,125.844
1733745263.5075345,125.844
1733745263.5177267,160.334
1733745263.5279303,160.334
1733745263.538138,160.334
1733745263.5483336,160.334
1733745263.5585694,160.334
1733745263.5687938,160.334
1733745263.5790029,160.334
1733745263.5892181,160.334
1733745263.5994747,160.334
1733745263.609687,169.37
1733745263.6198936,169.37
1733745263.630087,169.37
1733745263.640288,169.37
1733745263.650483,169.37
1733745263.6606812,169.37
1733745263.6708817,169.37
1733745263.6810827,169.37
1733745263.6912751,169.37
1733745263.7014797,169.37
1733745263.7116697,186.092
1733745263.7218568,186.092
1733745263.7320518,186.092
1733745263.742402,186.092
1733745263.7526023,186.092
1733745263.7628436,186.092
1733745263.7731817,186.092
1733745263.7833943,186.092
1733745263.7935853,186.092
1733745263.8037803,186.092
1733745263.8139787,201.631
1733745263.8241863,201.631
1733745263.8343818,201.631
1733745263.8445692,201.631
1733745263.8547597,201.631
1733745263.8649535,201.631
1733745263.8751593,201.631
1733745263.8853865,201.631
1733745263.8956506,201.631
1733745263.9058647,201.631
1733745263.916063,214.208
1733745263.926263,214.208
1733745263.9364574,214.208
1733745263.9466789,214.208
1733745263.9570327,214.208
1733745263.9673707,214.208
1733745263.9777284,214.208
1733745263.9880412,214.208
1733745263.9982562,214.208
1733745264.008503,229.247
1733745264.0188196,229.247
1733745264.0292256,229.247
1733745264.0395098,229.247
1733745264.0497205,229.247
1733745264.059952,229.247
1733745264.0701597,229.247
1733745264.0803864,229.247
1733745264.090585,229.247
1733745264.1008542,229.247
1733745264.1112847,240.199
1733745264.121506,240.199
1733745264.131708,240.199
1733745264.1419117,240.199
1733745264.1521318,240.199
1733745264.1623676,240.199
1733745264.1725225,240.199
1733745264.1827006,240.199
1733745264.192923,240.199
1733745264.2032237,240.199
1733745264.2135234,248.584
1733745264.2237327,248.584
1733745264.2339246,248.584
1733745264.2440977,248.584
1733745264.2544045,248.584
1733745264.2646313,248.584
1733745264.274837,248.584
1733745264.2850347,248.584
1733745264.295227,248.584
1733745264.305459,248.584
1733745264.31569,252.329
1733745264.3258977,252.329
1733745264.3361027,252.329
1733745264.346304,252.329
1733745264.356604,252.329
1733745264.3670328,252.329
1733745264.3772619,252.329
1733745264.3874617,252.329
1733745264.3976657,252.329
1733745264.4078755,252.431
1733745264.418067,252.431
1733745264.4282613,252.431
1733745264.4384582,252.431
1733745264.448651,252.431
1733745264.4588647,252.431
1733745264.469124,252.431
1733745264.4793367,252.431
1733745264.489532,252.431
1733745264.499757,252.431
1733745264.510072,254.738
1733745264.520392,254.738
1733745264.530706,254.738
1733745264.5410714,254.738
1733745264.5513418,254.738
1733745264.561572,254.738
1733745264.571821,254.738
1733745264.5821805,254.738
1733745264.5924723,254.738
1733745264.6027064,254.738
1733745264.6130514,251.683
1733745264.623395,251.683
1733745264.6336832,251.683
1733745264.643909,251.683
1733745264.654205,251.683
1733745264.6644094,251.683
1733745264.674636,251.683
1733745264.6850305,251.683
1733745264.695333,251.683
1733745264.7055655,251.683
1733745264.7158844,254.738
1733745264.7261171,254.738
1733745264.736425,254.738
1733745264.7467117,254.738
1733745264.7569702,254.738
1733745264.767221,254.738
1733745264.7774456,254.738
1733745264.78764,254.738
1733745264.797834,254.738
1733745264.8080237,254.221
1733745264.8182228,254.221
1733745264.8284476,254.221
1733745264.8387702,254.221
1733745264.8490534,254.221
1733745264.8592937,254.221
1733745264.8697097,254.221
1733745264.880023,254.221
1733745264.8903024,254.221
1733745264.9005353,254.221
1733745264.9108732,252.492
1733745264.9210887,252.492
1733745264.931337,252.492
1733745264.9416838,252.492
1733745264.9520278,252.492
1733745264.962336,252.492
1733745264.9726412,252.492
1733745264.9829593,252.492
1733745264.9932864,252.492
1733745265.003572,252.492
1733745265.0138307,255.48
1733745265.0241423,255.48
1733745265.0344841,255.48
1733745265.0447645,255.48
1733745265.0550103,255.48
1733745265.0652723,255.48
1733745265.075533,255.48
1733745265.0858912,255.48
1733745265.0962057,255.48
1733745265.1064837,255.48
1733745265.1167235,253.145
1733745265.127038,253.145
1733745265.1373413,253.145
1733745265.1476197,253.145
1733745265.1578531,253.145
1733745265.168214,253.145
1733745265.178508,253.145
1733745265.1887732,253.145
1733745265.1991198,253.145
1733745265.2093399,253.94
1733745265.2195756,253.94
1733745265.229938,253.94
1733745265.2402482,253.94
1733745265.2505584,253.94
1733745265.2608643,253.94
1733745265.271172,253.94
1733745265.281532,253.94
1733745265.2918406,253.94
1733745265.3021219,253.94
1733745265.3123574,254.077
1733745265.3226562,254.077
1733745265.3329508,254.077
1733745265.343212,254.077
1733745265.3534698,254.077
1733745265.3637888,254.077
1733745265.3741002,254.077
1733745265.384407,254.077
1733745265.3947601,254.077
1733745265.405019,254.077
1733745265.4153943,251.323
