timestamp,power_in_watts,sm_clock,step
1736645533.1561654,102.396,1710,idle
1736645533.3432295,102.368,1710,idle
1736645533.3491545,102.368,1710,idle
1736645533.530962,102.329,1710,idle
1736645533.7286828,102.151,1710,idle
1736645533.920906,102.098,1710,idle
1736645533.9247692,102.098,1710,idle
1736645533.938084,102.098,1710,idle
1736645533.941498,102.098,1710,idle
1736645533.9440105,102.098,1710,idle
1736645533.9464989,102.098,1710,idle
1736645533.9489949,102.098,1710,idle
1736645533.9514885,102.098,1710,idle
1736645533.9539666,102.098,1710,idle
1736645533.9568532,102.098,1710,idle
1736645533.9597242,102.098,1710,idle
1736645533.9622667,102.098,1710,idle
1736645533.9647942,102.098,1710,idle
1736645533.9673831,102.098,1710,idle
1736645533.9699736,102.098,1710,idle
1736645533.9724543,102.098,1710,idle
1736645533.9752414,102.098,1710,idle
1736645533.978177,102.098,1710,idle
1736645533.980768,102.098,1710,idle
1736645533.9832897,102.098,1710,idle
1736645533.9858706,102.098,1710,idle
1736645533.988447,102.098,1710,idle
1736645533.9910436,102.098,1710,idle
1736645533.993621,102.1,1710,idle
1736645533.996753,102.1,1710,idle
1736645533.9996805,102.1,1710,idle
1736645534.0023143,102.1,1710,idle
1736645534.004895,102.1,1710,idle
1736645534.007465,102.1,1710,idle
1736645534.0100358,102.1,1710,idle
1736645534.0126407,102.1,1710,idle
1736645534.0152154,102.1,1710,idle
1736645534.0181668,102.1,1710,idle
1736645534.020849,102.1,1710,idle
1736645534.0234354,102.1,1710,idle
1736645534.0260098,102.1,1710,idle
1736645534.0285823,102.1,1710,idle
1736645534.0311563,102.1,1710,idle
1736645534.033733,102.1,1710,idle
1736645534.0366526,102.1,1710,idle
1736645534.039725,102.1,1710,idle
1736645534.0423486,102.1,1710,idle
1736645534.044923,102.1,1710,idle
1736645534.0474956,102.1,1710,idle
1736645534.050153,102.1,1710,idle
1736645534.052755,102.1,1710,idle
1736645534.0553384,102.1,1710,idle
1736645534.05852,102.1,1710,idle
1736645534.062265,102.1,1710,idle
1736645534.065682,102.1,1710,to_device
1736645534.0682466,102.1,1710,to_device
1736645534.0708396,102.1,1710,forward
1736645534.0734334,102.1,1710,forward
1736645534.0761807,102.1,1710,forward
1736645534.0790198,102.1,1710,forward
1736645534.0817423,102.1,1710,forward
1736645534.0843885,102.1,1710,forward
1736645534.087033,102.1,1710,forward
1736645534.0897138,102.1,1710,forward
1736645534.092358,103.06,1710,forward
1736645534.0949924,103.06,1710,forward
1736645534.1013832,103.06,1710,forward
1736645534.1041267,103.06,1710,forward
1736645534.1067286,103.06,1710,backward
1736645534.1094694,103.06,1710,backward
1736645534.1121109,103.06,1710,backward
1736645534.114716,103.06,1710,backward
1736645534.1177175,103.06,1710,backward
1736645534.120391,103.06,1710,backward
1736645534.1229925,103.06,1710,backward
1736645534.1255925,103.06,1710,backward
1736645534.1282835,103.06,1710,backward
1736645534.1309583,103.06,1710,backward
1736645534.1335752,103.06,1710,backward
1736645534.1366527,103.06,1710,backward
1736645534.139815,103.06,1710,backward
1736645534.1424282,103.06,1710,backward
1736645534.1450355,103.06,1710,backward
1736645534.1476483,103.06,1710,backward
1736645534.150249,103.06,1710,backward
1736645534.1528554,103.06,1710,backward
1736645534.155522,103.06,1710,backward
1736645534.1585782,103.06,1710,backward
1736645534.1618378,103.06,1710,backward
1736645534.1644406,103.06,1710,backward
1736645534.1670346,103.06,1710,backward
1736645534.1696384,103.06,1710,backward
1736645534.172689,103.06,1710,idle
1736645534.1753757,103.06,1710,idle
1736645534.1784072,103.06,1710,idle
1736645534.1812625,103.06,1710,idle
1736645534.1838682,103.06,1710,idle
1736645534.1864748,103.06,1710,idle
1736645534.1891863,103.06,1710,idle
1736645534.1918051,112.524,1710,idle
1736645534.194523,112.524,1710,to_device
1736645534.19748,112.524,1710,to_device
1736645534.201223,112.524,1710,to_device
1736645534.2038257,112.524,1710,to_device
1736645534.2064302,112.524,1710,to_device
1736645534.2090778,112.524,1710,forward
1736645534.2119553,112.524,1710,forward
1736645534.2145913,112.524,1710,forward
1736645534.2175643,112.524,1710,forward
1736645534.2213233,112.524,1710,forward
1736645534.224047,112.524,1710,forward
1736645534.2266872,112.524,1710,forward
1736645534.229422,112.524,1710,forward
1736645534.2321706,112.524,1710,backward
1736645534.2349513,112.524,1710,backward
1736645534.238016,112.524,1710,backward
1736645534.2413795,112.524,1710,backward
1736645534.2440145,112.524,1710,backward
1736645534.2467637,112.524,1710,backward
1736645534.2495024,112.524,1710,backward
1736645534.2522478,112.524,1710,backward
1736645534.254987,112.524,1710,backward
1736645534.2581286,112.524,1710,backward
1736645534.2613275,112.524,1710,backward
1736645534.265339,112.524,1710,backward
1736645534.268343,112.524,1710,backward
1736645534.2711003,112.524,1710,backward
1736645534.273847,112.524,1710,backward
1736645534.2769902,112.524,1710,backward
1736645534.2797225,112.524,1710,optimize
1736645534.2825592,112.524,1710,idle
1736645534.285406,112.524,1710,idle
1736645534.2881906,112.524,1710,idle
1736645534.2909338,112.524,1710,idle
1736645534.2941124,122.092,1710,idle
1736645534.3015654,122.092,1890,idle
1736645534.3078113,122.092,1890,to_device
1736645534.3105624,122.092,1890,to_device
