timestamp,power_in_watts,sm_clock
1756991729.678848, 33.446, 1710
1756991729.9326527, 42.033, 1710
1756991730.4439764, 55.165, 1710
1756991730.6943629, 87.271, 1710
1756991730.702033, 87.271, 1710
1756991730.706014, 87.271, 1710
1756991730.7093368, 87.271, 1710
1756991730.7126253, 87.271, 1710
1756991730.7159784, 87.271, 1710
1756991730.7192817, 87.271, 1710
1756991730.7226396, 87.271, 1710
1756991730.725987, 87.271, 1710
1756991730.7293055, 87.271, 1710
1756991730.7326372, 87.271, 1710
1756991730.7360072, 87.271, 1710
1756991730.7394264, 87.271, 1710
1756991730.7427423, 87.271, 1710
1756991730.746049, 87.271, 1710
1756991730.749485, 87.271, 1710
1756991730.7527544, 87.271, 1710
1756991730.7561405, 87.271, 1710
1756991730.759439, 87.271, 1710
1756991730.7627745, 87.271, 1710
1756991730.7661765, 87.271, 1710
1756991730.7696128, 87.271, 1710
1756991730.7729018, 87.271, 1710
1756991730.7762449, 87.271, 1710
1756991730.7795331, 87.271, 1710
1756991730.7828085, 87.271, 1710
1756991730.7861452, 87.271, 1710
1756991730.7894742, 87.271, 1710
1756991730.7928188, 87.271, 1710
1756991730.7961361, 87.271, 1710
1756991730.7994335, 87.271, 1710
1756991730.8027122, 87.271, 1710
1756991730.8061593, 87.271, 1710
1756991730.8096435, 87.271, 1710
1756991730.813253, 87.271, 1710
1756991730.8168578, 87.271, 1710
1756991730.8204603, 87.271, 1710
1756991730.8240569, 87.271, 1710
1756991730.827657, 87.271, 1710
1756991730.8312304, 87.271, 1710
1756991730.8345559, 87.271, 1710
1756991730.8384416, 87.271, 1710
1756991730.8422558, 87.271, 1710
1756991730.84572, 87.271, 1710
1756991730.8816977, 89.8, 1710
1756991730.8851056, 89.8, 1710
1756991730.8889933, 89.8, 1710
1756991730.8931496, 89.8, 1710
1756991730.897265, 89.8, 1710
1756991730.9010699, 89.8, 1710
1756991730.9052584, 89.8, 1710
1756991730.9100342, 89.8, 1710
1756991730.9144506, 89.8, 1710
1756991730.91853, 89.8, 1710
1756991730.9231746, 89.8, 1710
1756991730.9269333, 89.8, 1710
1756991730.9304576, 89.8, 1710
1756991730.933748, 89.8, 1710
1756991730.9373038, 89.8, 1710
1756991730.9409099, 89.8, 1710
1756991730.944506, 89.8, 1710
1756991730.9482045, 89.8, 1710
1756991730.9519155, 89.8, 1710
1756991730.9554486, 89.8, 1710
1756991730.9588158, 89.8, 1710
1756991730.962377, 89.973, 1710
1756991730.965701, 89.973, 1710
1756991730.976716, 89.973, 1710
1756991730.9801095, 89.973, 1710
1756991730.9834294, 89.973, 1710
1756991730.9874482, 89.973, 1710
1756991730.99107, 89.973, 1710
1756991730.9952428, 89.973, 1710
1756991730.9985902, 89.973, 1710
1756991731.0020165, 89.973, 1710
1756991731.0054038, 89.973, 1710
1756991731.0094342, 89.973, 1710
1756991731.013025, 89.973, 1710
1756991731.0165167, 89.973, 1710
1756991731.0198095, 89.973, 1710
1756991731.023144, 89.973, 1710
1756991731.026849, 89.973, 1710
1756991731.0307195, 89.973, 1710
1756991731.0342977, 89.973, 1710
1756991731.0375526, 89.973, 1710
1756991731.041196, 89.973, 1710
1756991731.044956, 89.973, 1710
1756991731.0486395, 89.973, 1710
1756991731.0524378, 89.973, 1710
1756991731.0557423, 89.973, 1710
1756991731.0592518, 89.973, 1710
1756991731.0626483, 90.294, 1710
1756991731.0662959, 90.294, 1710
1756991731.070207, 90.294, 1710
1756991731.0740583, 90.294, 1710
1756991731.0775843, 90.294, 1710
1756991731.0810854, 90.294, 1710
1756991731.084471, 90.294, 1710
1756991731.0884547, 90.294, 1710
1756991731.0918837, 90.294, 1710
1756991731.0952153, 90.294, 1710
1756991731.098567, 90.294, 1710
1756991731.1019592, 90.294, 1710
1756991731.1054757, 90.294, 1710
1756991731.1091363, 90.294, 1710
1756991731.1125855, 90.294, 1710
1756991731.1158981, 90.294, 1710
1756991731.1193433, 90.294, 1710
1756991731.1228733, 90.294, 1710
1756991731.1268358, 90.294, 1710
1756991731.130595, 90.294, 1710
1756991731.1339533, 90.294, 1710
1756991731.1373045, 90.294, 1710
1756991731.1405947, 90.294, 1710
1756991731.143917, 90.294, 1710
1756991731.1475208, 90.294, 1710
1756991731.1510632, 90.294, 1710
1756991731.1544483, 90.294, 1710
1756991731.157754, 90.294, 1710
1756991731.1610887, 90.294, 1710
1756991731.1645708, 91.379, 1710
1756991731.1726384, 91.379, 1710
1756991731.176141, 91.379, 1710
1756991731.1797357, 91.379, 1710
1756991731.1836197, 91.379, 1710
1756991731.1880856, 91.379, 1710
1756991731.1932385, 91.379, 1710
1756991731.1971283, 91.379, 1710
1756991731.201203, 91.379, 1710
1756991731.2074602, 91.379, 1710
1756991731.2109387, 91.379, 1710
1756991731.2144005, 91.379, 1710
1756991731.217862, 91.379, 1710
1756991731.224313, 91.379, 1710
1756991731.2283015, 91.379, 1710
1756991731.2318525, 91.379, 1710
1756991731.2353766, 91.379, 1710
1756991731.2386951, 91.379, 1710
1756991731.2421198, 91.379, 1710
1756991731.245624, 91.379, 1710
1756991731.2493443, 91.379, 1710
1756991731.2530625, 91.379, 1710
1756991731.2565033, 91.379, 1710
1756991731.2600555, 91.379, 1710
1756991731.2633426, 91.727, 1710
1756991731.2671847, 91.727, 1710
1756991731.2706702, 91.727, 1710
1756991731.2743413, 91.727, 1710
1756991731.27795, 91.727, 1710
1756991731.2816536, 91.727, 1710
1756991731.2851539, 91.727, 1710
1756991731.288869, 91.727, 1710
1756991731.292316, 91.727, 1710
1756991731.2956853, 91.727, 1710
1756991731.2990146, 91.727, 1710
1756991731.302359, 91.727, 1710
1756991731.305799, 91.727, 1710
1756991731.3095343, 91.727, 1710
1756991731.3129654, 91.727, 1710
1756991731.3163865, 91.727, 1710
1756991731.319715, 91.727, 1710
1756991731.3232458, 91.727, 1710
1756991731.327018, 91.727, 1710
1756991731.3305604, 91.727, 1710
1756991731.3338768, 91.727, 1710
1756991731.3372548, 91.727, 1710
1756991731.340804, 91.727, 1710
1756991731.3442519, 91.727, 1710
1756991731.3481538, 91.727, 1710
1756991731.3517869, 91.727, 1710
1756991731.3552191, 91.727, 1710
1756991731.358703, 91.727, 1710
1756991731.3622587, 92.459, 1710
1756991731.3656182, 92.459, 1710
1756991731.3727453, 92.459, 1710
1756991731.3765748, 92.459, 1710
1756991731.3805306, 92.459, 1710
1756991731.3843448, 92.459, 1710
1756991731.388562, 92.459, 1710
1756991731.392346, 92.459, 1710
1756991731.3958504, 92.459, 1710
1756991731.3991573, 92.459, 1710
1756991731.4024618, 92.459, 1710
1756991731.40589, 92.459, 1710
1756991731.4100735, 92.459, 1710
1756991731.4137118, 92.459, 1710
1756991731.4170573, 92.459, 1710
1756991731.4203794, 92.459, 1710
1756991731.4241986, 92.459, 1710
1756991731.427986, 92.459, 1710
1756991731.43143, 92.459, 1710
1756991731.4347725, 92.459, 1710
1756991731.438141, 92.459, 1710
1756991731.4415653, 92.459, 1710
1756991731.444907, 92.459, 1710
1756991731.4487965, 92.459, 1710
1756991731.4522352, 92.459, 1710
1756991731.455735, 92.459, 1710
1756991731.460114, 92.459, 1710
1756991731.4641218, 94.7, 1710
1756991731.4687235, 94.7, 1710
1756991731.4729886, 94.7, 1710
1756991731.4771454, 94.7, 1710
1756991731.48075, 94.7, 1710
1756991731.4840539, 94.7, 1710
1756991731.4879231, 94.7, 1710
1756991731.4913414, 94.7, 1710
1756991731.4946823, 94.7, 1710
1756991731.498342, 94.7, 1710
1756991731.5019464, 94.7, 1710
1756991731.5055804, 94.7, 1710
1756991731.5096858, 94.7, 1710
1756991731.5132518, 94.7, 1710
1756991731.5170994, 94.7, 1710
1756991731.52088, 94.7, 1710
1756991731.5246398, 94.7, 1710
1756991731.5288572, 94.7, 1710
1756991731.532861, 94.7, 1710
1756991731.5365872, 94.7, 1710
1756991731.540522, 94.7, 1710
1756991731.5439215, 94.7, 1710
1756991731.5478034, 94.7, 1710
1756991731.551393, 94.7, 1710
1756991731.5548458, 94.7, 1710
1756991731.5585566, 94.7, 1710
1756991731.562428, 100.456, 1710
1756991731.5664794, 100.456, 1950
1756991731.5776854, 100.456, 1950
1756991731.581687, 100.456, 1950
1756991731.5857265, 100.456, 1950
1756991731.5897331, 100.456, 1950
1756991731.593594, 100.456, 1950
1756991731.5970268, 100.456, 1950
1756991731.6005945, 100.456, 1950
1756991731.6039324, 100.456, 1950
1756991731.6075666, 100.456, 1950
1756991731.6437316, 100.456, 1950
1756991731.6480882, 100.456, 1950
1756991731.6517646, 100.456, 1950
1756991731.6556468, 100.456, 1950
1756991731.659448, 100.456, 1950
1756991731.6633363, 110.578, 1950
1756991731.6675136, 110.578, 1950
1756991731.6717846, 110.578, 1950
1756991731.675188, 110.578, 1950
1756991731.6785328, 110.578, 1950
1756991731.6820436, 110.578, 1950
1756991731.6855776, 110.578, 1950
1756991731.6893058, 110.578, 1950
1756991731.6932354, 110.578, 1950
1756991731.6969957, 110.578, 1950
1756991731.7010741, 110.578, 1950
1756991731.704568, 110.578, 1950
1756991731.7087464, 110.578, 1950
1756991731.712728, 110.578, 1950
1756991731.7164624, 110.578, 1950
1756991731.7202978, 110.578, 1950
1756991731.7237582, 110.578, 1950
1756991731.7279873, 110.578, 1950
1756991731.7322037, 110.578, 1950
1756991731.7360423, 110.578, 1950
1756991731.7399647, 110.578, 1950
1756991731.7446067, 110.578, 1950
1756991731.749107, 110.578, 1950
1756991731.7530107, 110.578, 1950
1756991731.756455, 110.578, 1950
1756991731.7599003, 110.578, 1950
1756991731.76333, 123.066, 1950
1756991731.7675898, 123.066, 1950
1756991731.7729824, 123.066, 1950
1756991731.7782798, 123.066, 1950
1756991731.781966, 123.066, 1950
1756991731.7852595, 123.066, 1950
1756991731.7891371, 123.066, 1950
1756991731.793008, 123.066, 1950
1756991731.7966726, 123.066, 1950
1756991731.8001502, 123.066, 1950
