power.draw [W]
77.07 W
72.29 W
78.37 W
78.20 W
78.35 W
78.30 W
78.24 W
78.11 W
78.64 W
78.07 W
78.36 W
78.12 W
78.53 W
77.97 W
78.49 W
78.30 W
78.33 W
78.10 W
78.43 W
78.42 W
78.66 W
78.15 W
78.45 W
78.53 W
78.23 W
78.29 W
78.35 W
78.54 W
78.16 W
78.44 W
78.10 W
78.43 W
78.31 W
78.42 W
78.08 W
78.29 W
78.29 W
78.71 W
77.85 W
78.58 W
78.14 W
78.65 W
77.99 W
78.35 W
78.38 W
78.48 W
78.34 W
78.51 W
78.47 W
78.35 W
78.52 W
76.71 W
71.41 W
76.90 W
