timestamp,power_in_watts
1734626974.6234744,67.61
1734626974.7376132,67.144
1734626974.7420824,67.144
1734626974.899743,67.146
1734626975.0134306,67.109
1734626975.1297348,67.11
1734626975.1326442,67.11
1734626975.1388824,67.11
1734626975.1504622,67.11
1734626975.1539838,67.11
1734626975.1562877,67.11
1734626975.158746,67.11
1734626975.1610506,67.11
1734626975.1632595,67.11
1734626975.1654356,67.11
1734626975.1676388,67.098
1734626975.1698465,67.098
1734626975.1719913,67.098
1734626975.1742084,67.098
1734626975.1764116,67.098
1734626975.178584,67.098
1734626975.1807566,67.098
1734626975.1829557,67.098
1734626975.185133,67.098
1734626975.1873426,67.098
1734626975.1895263,67.098
1734626975.1917014,67.098
1734626975.1939034,67.098
1734626975.196102,67.098
1734626975.1982749,67.098
1734626975.2004452,67.098
1734626975.2026184,67.098
1734626975.2163906,67.098
1734626975.2185924,67.098
1734626975.2207916,67.098
1734626975.2229676,67.098
1734626975.2251716,67.098
1734626975.227372,67.098
1734626975.2295432,67.098
1734626975.2317173,67.098
1734626975.2339227,67.098
1734626975.2360954,67.098
1734626975.238269,67.098
1734626975.240439,67.098
1734626975.2426167,67.098
1734626975.2448175,67.098
1734626975.2469904,67.098
1734626975.2491584,67.098
1734626975.2513335,67.098
1734626975.253531,67.098
1734626975.2557082,67.098
1734626975.2578776,67.098
1734626975.2600543,67.098
1734626975.262228,67.098
1734626975.2644255,67.098
1734626975.266598,67.098
1734626975.2687685,67.073
1734626975.270941,67.073
1734626975.2731307,67.073
1734626975.275335,67.073
1734626975.2775276,67.073
1734626975.2796981,67.073
1734626975.2818718,67.073
1734626975.2840722,67.073
1734626975.2862651,67.073
1734626975.2884376,67.073
1734626975.2906098,67.073
1734626975.292783,67.073
1734626975.2949815,67.073
1734626975.2971547,67.073
1734626975.299326,67.073
1734626975.3014958,67.073
1734626975.3036723,67.073
1734626975.3058422,67.073
1734626975.3079836,67.073
1734626975.310156,67.073
1734626975.3123295,67.073
1734626975.3144999,67.073
1734626975.3166704,67.073
1734626975.3188415,67.073
1734626975.3210363,67.073
1734626975.3233497,67.073
1734626975.3255641,67.073
1734626975.3277538,67.073
1734626975.3299458,67.073
1734626975.3321278,67.073
1734626975.334334,67.073
1734626975.3365128,67.073
1734626975.3386872,67.073
1734626975.3408623,67.073
1734626975.3430429,67.073
1734626975.3452492,67.073
1734626975.347439,67.073
1734626975.3496172,67.073
1734626975.3517954,67.073
1734626975.3539767,67.073
1734626975.356821,67.073
1734626975.3590589,67.073
1734626975.3612401,67.073
1734626975.3635042,67.073
1734626975.3657153,67.073
1734626975.3679037,67.055
1734626975.3700995,67.055
1734626975.3722856,67.055
1734626975.3745723,67.055
1734626975.3767562,67.055
1734626975.378928,67.055
1734626975.3810961,67.055
1734626975.383294,67.055
1734626975.385492,67.055
1734626975.3876624,67.055
1734626975.3898304,67.055
1734626975.3920505,67.055
1734626975.3977532,67.055
1734626975.3999887,67.055
1734626975.4021776,67.055
1734626975.4043562,67.055
1734626975.4065611,67.055
1734626975.4087503,67.055
1734626975.4109206,67.055
1734626975.4130976,67.055
1734626975.4153147,67.055
1734626975.4175491,67.055
1734626975.41978,67.055
1734626975.42198,67.055
1734626975.424183,67.055
1734626975.4264116,67.055
1734626975.428638,67.055
1734626975.430825,67.055
1734626975.433005,67.055
1734626975.4352021,67.055
1734626975.4373744,67.055
1734626975.4395764,67.055
1734626975.4417818,67.055
1734626975.443994,67.055
1734626975.4462297,67.055
1734626975.4484477,67.055
1734626975.4507217,67.055
1734626975.4529088,67.055
1734626975.4551299,67.055
1734626975.4573095,67.055
1734626975.4595401,67.055
1734626975.461753,67.055
1734626975.4639413,67.055
1734626975.466167,67.055
1734626975.4683783,69.481
1734626975.4705584,69.481
