power.draw [W]
77.27 W
73.98 W
79.65 W
79.64 W
79.25 W
79.18 W
78.86 W
79.26 W
79.63 W
78.84 W
79.08 W
79.43 W
79.39 W
78.68 W
78.70 W
79.12 W
79.17 W
79.08 W
79.30 W
79.51 W
79.45 W
79.58 W
79.30 W
79.30 W
79.26 W
79.54 W
79.44 W
79.34 W
79.35 W
79.43 W
79.68 W
79.29 W
79.45 W
79.44 W
79.40 W
79.24 W
79.52 W
79.42 W
79.49 W
79.67 W
79.37 W
79.62 W
79.45 W
79.60 W
79.72 W
79.39 W
79.50 W
79.49 W
72.47 W
77.11 W
77.28 W
