timestamp,power_in_watts
1734522114.4911575,90.697
1734522114.7452192,90.65
1734522115.0151012,90.387
1734522115.0186193,90.387
1734522115.2669764,90.393
1734522115.2706647,90.393
1734522115.5734735,90.382
1734522115.5763428,90.382
1734522115.5834382,90.382
1734522115.58584,90.382
1734522115.5880272,90.382
1734522115.5902157,90.382
1734522115.5923889,90.382
1734522115.5945578,90.382
1734522115.5970857,90.382
1734522115.655224,90.382
1734522115.657428,90.382
1734522115.6595433,90.382
1734522115.6616573,90.382
1734522115.6637707,90.382
1734522115.665894,90.382
1734522115.668009,90.382
1734522115.670123,90.382
1734522115.672235,90.382
1734522115.6743505,90.382
1734522115.676473,90.382
1734522115.6785865,90.382
1734522115.6806993,90.382
1734522115.6828089,90.382
1734522115.684924,90.382
1734522115.687045,90.382
1734522115.6891558,90.382
1734522115.6912699,90.382
1734522115.6933818,90.382
1734522115.6955066,90.382
1734522115.6976295,90.382
1734522115.6997414,90.382
1734522115.7018564,90.382
1734522115.703988,90.382
1734522115.7061136,90.382
1734522115.7082407,90.382
1734522115.710358,90.382
1734522115.7124708,90.382
1734522115.7145827,90.382
1734522115.7167058,90.382
1734522115.718817,90.382
1734522115.7209272,90.382
1734522115.723037,90.382
1734522115.725149,90.382
1734522115.72727,90.382
1734522115.7293801,90.382
1734522115.7314906,90.382
1734522115.7337022,90.382
1734522115.7359948,90.382
1734522115.7381895,90.382
1734522115.740369,90.382
1734522115.7425425,90.382
1734522115.7447166,90.382
1734522115.7468889,90.382
1734522115.7490723,90.382
1734522115.751299,90.382
1734522115.753476,90.382
1734522115.7556508,90.382
1734522115.7578247,90.382
1734522115.7600222,90.382
1734522115.7622004,90.382
1734522115.7643745,90.382
1734522115.7665474,90.382
1734522115.7687213,90.382
1734522115.7708943,90.382
1734522115.773075,90.382
1734522115.7752495,90.382
1734522115.7774217,90.382
1734522115.7795959,90.382
1734522115.7817693,90.382
1734522115.783944,90.382
1734522115.7861173,90.382
1734522115.7882912,90.382
1734522115.7904642,90.382
1734522115.7926373,90.382
1734522115.7948134,90.382
1734522115.7969978,90.382
1734522115.799185,90.382
1734522115.8013601,90.382
1734522115.8035347,90.382
1734522115.8057077,90.382
1734522115.8078823,90.382
1734522115.8100545,90.382
1734522115.8122277,90.382
1734522115.814401,90.382
1734522115.816574,90.382
1734522115.8187468,90.382
1734522115.8209229,90.382
1734522115.823096,90.382
1734522115.8252687,90.382
1734522115.8274431,90.382
1734522115.8296156,90.382
1734522115.831791,90.382
1734522115.833969,90.382
1734522115.8361442,90.382
1734522115.8383176,90.382
1734522115.8404949,90.382
1734522115.8426688,90.382
1734522115.844843,90.382
1734522115.8470175,90.382
1734522115.8491952,90.382
1734522115.8521492,90.382
1734522115.8543148,90.175
1734522115.8564537,90.175
1734522115.8585887,90.175
1734522115.860724,90.175
1734522115.8628583,90.175
1734522115.865108,90.175
1734522115.867263,90.175
1734522115.8694153,90.175
1734522115.8716073,90.175
1734522115.8737528,90.175
1734522115.875899,90.175
1734522115.8780386,90.175
1734522115.8801816,90.175
1734522115.8823278,90.175
1734522115.884472,90.175
1734522115.886619,90.175
1734522115.888764,90.175
1734522115.890908,90.175
1734522115.893071,90.175
1734522115.8952131,90.175
1734522115.8973556,90.175
1734522115.899498,90.175
1734522115.9016345,90.175
1734522115.9037774,95.575
1734522115.9059188,95.575
1734522115.9080944,95.575
1734522115.9102366,95.575
1734522115.9123712,95.575
1734522115.9145064,95.575
1734522115.9166431,95.575
1734522115.9187768,95.575
1734522115.9209104,95.575
1734522115.9230433,95.575
1734522115.9251773,95.575
1734522115.9273138,95.575
1734522115.9294472,95.575
1734522115.9315853,95.575
1734522115.9337268,95.575
