timestamp,power_in_watts
1733917487.641148,92.897
1733917487.690616,92.757
1733917487.6937199,92.757
1733917487.7713618,92.75
1733917487.8155527,92.75
1733917487.8627737,92.76
1733917487.8653097,92.76
1733917487.8810906,92.76
1733917487.8832893,92.76
1733917487.8854725,92.76
1733917487.953115,92.76
1733917487.955847,92.76
1733917487.9582164,92.76
1733917487.9604218,92.76
1733917487.962609,92.76
1733917487.9647915,92.759
1733917487.966979,92.759
1733917487.9691582,92.759
1733917487.971346,92.759
1733917487.973521,92.759
1733917487.9756994,92.759
1733917487.977883,92.759
1733917487.980062,92.759
1733917487.9822474,92.759
1733917487.984439,92.759
1733917487.9866235,92.759
1733917487.988805,92.759
1733917487.9909918,92.759
1733917487.9931705,92.759
1733917487.995351,92.759
1733917487.9975297,92.759
1733917487.9997153,92.759
1733917488.001899,92.759
1733917488.0040796,92.759
1733917488.00626,92.759
1733917488.0084443,92.759
1733917488.010625,92.759
1733917488.012804,92.759
1733917488.014986,92.759
1733917488.0171702,92.759
1733917488.0193574,92.759
1733917488.0215344,92.759
1733917488.0237174,92.759
1733917488.025902,92.759
1733917488.0280805,92.759
1733917488.030259,92.759
1733917488.0324414,92.759
1733917488.034625,92.759
1733917488.0368047,92.759
1733917488.0389838,92.759
1733917488.0411634,92.759
1733917488.0433438,92.759
1733917488.0455346,92.759
1733917488.04772,92.759
1733917488.0499103,92.759
1733917488.052089,92.759
1733917488.0542696,92.759
1733917488.056457,92.759
1733917488.0586445,92.759
1733917488.0608232,92.759
1733917488.0630054,92.756
1733917488.0651844,92.756
1733917488.067365,92.756
1733917488.0695424,92.756
1733917488.071743,92.756
1733917488.0739317,92.756
1733917488.076112,92.756
1733917488.0782917,92.756
1733917488.080477,92.756
1733917488.0826626,92.756
1733917488.084843,92.756
1733917488.0870278,92.756
1733917488.0892081,92.756
1733917488.0913966,92.756
1733917488.093575,92.756
1733917488.0957541,92.756
1733917488.0979369,92.756
1733917488.1001203,92.756
1733917488.1023006,92.756
1733917488.1044803,92.756
1733917488.1066647,92.756
1733917488.1088436,92.756
1733917488.111022,92.756
1733917488.1132019,92.756
1733917488.1153889,92.756
1733917488.1175656,92.756
1733917488.1197512,92.756
1733917488.1219347,92.756
1733917488.124117,92.756
1733917488.126296,92.756
1733917488.1284757,92.756
1733917488.1306589,92.756
1733917488.1328409,92.756
1733917488.13502,92.756
1733917488.137206,92.756
1733917488.139402,92.756
1733917488.141579,92.756
1733917488.1437588,92.756
1733917488.1459444,92.756
1733917488.148133,92.756
1733917488.1503134,92.756
1733917488.152546,92.756
1733917488.154731,92.756
1733917488.1569166,92.756
1733917488.1591814,92.756
1733917488.1616328,92.756
1733917488.165399,92.751
1733917488.1675842,92.751
1733917488.1697745,92.751
1733917488.1719654,92.751
1733917488.1741436,92.751
1733917488.176331,92.751
1733917488.1785045,92.751
1733917488.180682,92.751
1733917488.1828523,92.751
1733917488.185026,92.751
1733917488.1872077,92.751
1733917488.1893811,92.751
1733917488.1915512,92.751
1733917488.193724,92.751
1733917488.1959028,92.751
1733917488.1980777,92.751
1733917488.2002542,92.751
1733917488.2024279,92.751
1733917488.204635,92.751
1733917488.206805,92.751
1733917488.208981,92.751
1733917488.2111597,92.751
1733917488.2134128,92.751
1733917488.215581,92.751
1733917488.217773,92.751
1733917488.219958,92.751
1733917488.2221494,92.751
1733917488.2243404,92.751
1733917488.2265222,92.751
1733917488.2287023,92.751
1733917488.230883,92.751
1733917488.2331104,92.751
1733917488.2353091,92.751
1733917488.2374923,92.751
1733917488.2396786,92.751
1733917488.2418604,92.751
1733917488.244043,92.751
1733917488.2462864,92.751
1733917488.2484682,92.751
1733917488.2506478,92.751
1733917488.2528284,92.751
1733917488.2550092,92.751
1733917488.257189,92.751
1733917488.2594023,92.751
1733917488.2615867,92.751
1733917488.263768,97.767
1733917488.265947,97.767
