40,45,50,55,60,65,70,75,80,85,90,95
626076746349.22,794961598993.93,900239026390.56,955177013270.53,993914232942.18,1044712660336.62,1093337571704.09,1115470454599.04,1139036765091.44,1151577506127.64,1172336393307.17,1182033770670.11
620703296512.51,794171225621.73,903720116385.28,959113486120.66,997529783154.18,1048327489589.34,1095508910000.8,1121074257785.95,1129754289678.36,1154058579230.27,1172974305076.24,1192858842677.4
617498320568.32,793237057060.12,901705513489.61,957085517267.63,995531662322.94,1046313472037.2,1089641978598.22,1115481345794.74,1127662914684.04,1150827295413.04,1171624677463.97,1188432795992.51
612488345225.72,789561929168.68,899593037444.66,957333072889.7,994083451432.53,1043517910185.24,1084269995672.79,1111444584090.18,1128811258488.2,1149000150556.89,1165496956702.55,1167759012580.44
613806519464.95,786583075055.32,900170330475.85,957486319328.1,993436702899.33,1042628513718.1,1081234658499.21,1111173493993.38,1128578490035.38,1148349365703.76,1163742672744.27,1181632671677.04
613612937628.0,785718834395.31,870568252770.87,956983041163.7,992668817049.82,1042786523739.64,1082704098422.1,1107847431445.76,1128370492929.28,1147412535350.86,1164230707265.35,1181031570796.85
612998510202.96,787815931475.83,898294668259.94,957268053343.58,991802986098.07,1042768825482.18,1080709396654.55,1107247525995.29,1128754955348.38,1146894734270.9,1163487428644.08,1179867647370.4
613063044375.64,788971825736.65,898311208455.96,955570204666.4,991532001953.18,1041196736697.11,1079401873775.37,1104895611835.7,1127310106982.86,1146469235366.86,1164413957307.42,1179764367407.29
613282612987.81,788017562247.71,897651739976.93,955729524298.53,990874791717.56,1042141010618.4,1078006859042.85,1103798355780.04,1128120391214.49,1147833700308.73,1163264540408.05,1175471205779.55
613345088907.13,787031389627.48,898675579652.24,955595534779.27,991444206959.43,1040940738860.61,1078446695126.37,1102417262282.13,1128718685742.23,1145787873767.68,1163157886175.29,1177022709941.56
