time,G_grid,W_grid,P_grid,R_grid,G_solar,W_solar,P_solar,R_solar,D_dc,D_grid,GPU_power,operations,job_completion,total_job_completion,minimum_cost
4,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,['Process 1 is executed'],0.04200000000000001,101.50%,$0.87
5,390.0,0.0,140.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,['Process 1 is executed'],0.04200000000000001,101.50%,$0.87
6,196.125,0.0,170.0,26.125,0.0,0.0,0.0,0.0,0.0,0.0,170.0,['Process 5 is executed'],0.064,101.50%,$0.87
7,113.8494375,0.0,110.0,3.8494374999999934,0.0,0.0,0.0,0.0,0.0,0.0,110.0,['Process 1 is executed'],0.04200000000000001,101.50%,$0.87
8,0.0,0.0,0.0,0.0,1.356,0.0,1.356,0.0,109.60444444444445,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$0.87
9,0.0,0.0,0.0,0.0,2.729,0.0,2.729,0.0,119.19,0.0,110.0,['Process 1 is executed'],0.04200000000000001,101.50%,$0.87
10,65.75710279977199,0.0,65.75710279977199,0.0,17.337,0.0,17.337,0.0,18.784330222475575,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$0.87
11,40.491,0.0,40.491,0.0,89.509,0.0,89.509,0.0,0.0,0.0,130.0,['Process 3 is executed'],0.054,101.50%,$0.87
12,141.226,0.0,141.226,0.0,28.774,0.0,28.774,0.0,0.0,0.0,170.0,['Process 5 is executed'],0.064,101.50%,$0.87
13,63.235,0.0,63.235,0.0,36.765,0.0,36.765,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$0.87
14,94.634,0.0,94.634,0.0,5.366,0.0,5.366,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$0.87
15,91.117,0.0,91.117,0.0,8.883,0.0,8.883,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$0.87
16,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$0.87
17,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,['Process 0 is executed'],0.036000000000000004,101.50%,$0.87
18,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,['Process 2 is executed'],0.048,101.50%,$0.87
19,110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,['Process 1 is executed'],0.04200000000000001,101.50%,$0.87
20,110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,['Process 1 is executed'],0.04200000000000001,101.50%,$0.87
21,180.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,['Process 7 is executed'],0.069,101.50%,$0.87
22,110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,['Process 1 is executed'],0.04200000000000001,101.50%,$0.87
23,170.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,['Process 5 is executed'],0.064,101.50%,$0.87
24,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,['Process 1 is executed'],0.04200000000000001,101.50%,$0.87
25,180.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,['Process 5 is executed'],0.064,101.50%,$0.87
