time,G_grid,W_grid,P_grid,R_grid,G_solar,W_solar,P_solar,R_solar,D_dc,D_grid,GPU_power,operations,job_completion,total_job_completion,minimum_cost
8,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
9,318.932,0.0,318.932,0.0,1.068,0.0,1.068,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.88
10,302.663,0.0,302.663,0.0,17.337,0.0,17.337,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
11,222.28199999999998,0.0,222.28199999999998,0.0,97.718,0.0,97.718,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.88
12,289.925,0.0,289.925,0.0,30.075,0.0,30.075,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
13,281.025,0.0,281.025,0.0,38.975,0.0,38.975,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.88
14,315.995,0.0,315.995,0.0,4.005,0.0,4.005,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
15,312.078,0.0,312.078,0.0,7.922,0.0,7.922,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.88
16,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 5 is executed'],0.064,100.00%,$1.88
17,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
18,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
19,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
20,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
21,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
22,320.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,['Process 6 is executed'],0.068,100.00%,$1.88
